//编号	名称	模型	螺旋桨1	螺旋桨2	螺旋桨3	螺旋桨4	价格	船只耐久常数	船耐久恢复常数	船只防御力常数	船只resist常数	船只最小攻击力常数	船只最大攻击力常数	攻击距离常数	添弹时间常数	炮弹爆炸范围常数	货舱容量常数	船只补给常数	船只补给消耗常数	炮弹飞行速度常数	船移动速度常数	描述（道具等级）	备注
0085	配件13	0	0	0	0	0	3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0086	配件14	0	0	0	0	0	4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0087	配件15	0	0	0	0	0	4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0088	配件16	0	0	0	0	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0089	配件17	0	0	0	0	0	5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0090	配件18	0	0	0	0	0	5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0091	配件19	0	0	0	0	0	6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0092	配件20	0	0	0	0	0	6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0093	低级船只1船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0094	低级船只2船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0095	低级船只3船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0096	低级船只4船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0097	低级船只5船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0098	低级船只6船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0099	低级船只7船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0100	低级船只8船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0101	低级船只9船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0102	低级船只10船头	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0103	低级船只1动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0104	低级船只2动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0105	低级船只3动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0106	低级船只4动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0107	低级船只5动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0108	低级船只6动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0109	低级船只7动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0110	低级船只8动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0111	低级船只9动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0112	低级船只10动力	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0113	精致撞角	0	0	0	0	0	2749	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0114	高级撞角	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	0	1100	0	0	0	0	0
0115	尖刺撞角	2000000001	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0116	撞角11	2000000001	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0117	撞角12	2000000001	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0118	撞角13	2000010001	0	0	0	0	5280	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0119	撞角14	2000010001	0	0	0	0	6095	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0120	撞角15	2000010001	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0121	撞角16	2000020001	0	0	0	0	7470	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0122	撞角17	2000020001	0	0	0	0	8493	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0123	撞角18	2000020001	0	0	0	0	9607	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0124	小型撞角	0	0	0	0	0	720	0	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0
0125	中型撞角	0	0	0	0	0	939	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0
0126	大型撞角	0	0	0	0	0	1201	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0
0127	轻型军用撞角	0	0	0	0	0	1350	0	0	0	0	0	0	0	0	0	0	400	0	0	0	0	0
0128	中型军用撞角	0	0	0	0	0	1682	0	0	0	0	0	0	0	0	0	0	430	0	0	0	0	0
0129	重型军用撞角	0	0	0	0	0	2067	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0
0130	轻型战舰撞角	0	0	0	0	0	2280	0	0	0	0	0	0	0	0	0	0	1000	0	0	0	0	0
0131	中型战舰撞角	0	0	0	0	0	2749	0	0	0	0	0	0	0	0	0	0	1060	0	0	0	0	0
0132	重型战舰撞角	0	0	0	0	0	3280	0	0	0	0	0	0	0	0	0	0	1130	0	0	0	0	0
0133	尖刀撞角	2001000001	0	0	0	0	3570	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0134	撞角29	2001000001	0	0	0	0	4200	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0135	撞角30	2001000001	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	0	1200	0	0	0	0	0
0136	撞角31	2001010001	0	0	0	0	5280	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0137	撞角32	2001010001	0	0	0	0	6095	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0138	撞角33	2001010001	0	0	0	0	6990	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0139	弧形三角挡板	2002000001	0	0	0	0	7470	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0140	撞角35	2002000001	0	0	0	0	8493	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0141	撞角36	2002000001	0	0	0	0	9607	0	0	0	0	0	0	0	0	0	0	2100	0	0	0	0	0
0142	发动机8	2000000002	0022	0	0	0	5677	0	0	0	0	0	0	0	0	0	0	0	0	0	535	0	0
0143	发动机9	2000010002	0023	0024	0025	0026	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	540	0	0
0144	发动机10	2000010002	0023	0024	0025	0026	7618	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0
0145	发动机11	2000020002	0027	0028	0	0	9337	0	0	0	0	0	0	0	0	0	0	0	0	0	550	0	0
0146	仿生浮筒10型	0	0	0	0	0	900	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0147	仿生浮筒20型	0	0	0	0	0	1331	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0
0148	OSM通用快帆	0	0	0	0	0	1687	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0149	滑行动力帆	0	0	0	0	0	2335	0	0	0	0	0	0	0	0	0	0	0	0	0	455	0	0
0150	仿生划水100型	0	0	0	0	0	2850	0	0	0	0	0	0	0	0	0	0	0	0	0	450	0	0
0151	仿生划水110型	0	0	0	0	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0
0152	双联喷水推进系统	2001000002	0029	0030	0031	0	4462	0	0	0	0	0	0	0	0	0	0	0	0	0	555	0	0
0153	发动机19	2001000002	0029	0030	0031	0	5677	0	0	0	0	0	0	0	0	0	0	0	0	0	560	0	0
0154	发动机20	2001010002	0032	0033	0034	0035	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	565	0	0
0155	发动机21	2001010002	0032	0033	0034	0035	7618	0	0	0	0	0	0	0	0	0	0	0	0	0	570	0	0
0156	涡轮交错式螺旋桨	2002000002	0036	0037	0038	0039	9337	0	0	0	0	0	0	0	0	0	0	0	0	0	575	0	0
0157	OSM通用破甲炮	0	0	0	0	0	1598	0	0	0	0	164	246	0	79	0	0	0	0	0	0	0	0
0158	OSM双管破甲炮	0	0	0	0	0	2025	0	0	0	0	170	256	0	85	0	0	0	0	0	0	0	0
0159	OSM四管破甲炮	0	0	0	0	0	2265	0	0	0	0	183	275	0	88	0	0	0	0	0	0	0	0
0160	OSM高能穿甲炮	0	0	0	0	0	2802	0	0	0	0	196	294	0	94	0	0	0	0	0	0	0	0
0161	OSM聚能穿甲炮	0	0	0	0	0	3420	0	0	0	0	202	303	0	100	0	0	0	0	0	0	0	0
0162	OSM毁灭者	0	0	0	0	0	3760	0	0	0	0	215	322	0	103	0	0	0	0	0	0	0	0
0163	OSM吞噬者	0	0	0	0	0	4510	0	0	0	0	227	341	0	109	0	0	0	0	0	0	0	0
0164	OSM通用破甲炮	0	0	0	0	0	5355	0	0	0	0	233	349	0	115	0	0	0	0	0	0	0	0
0165	火炮29	0	0	0	0	0	5814	0	0	0	0	246	369	0	118	0	0	0	0	0	0	0	0
0166	火炮30	0	0	0	0	0	6812	0	0	0	0	257	386	0	124	0	0	0	0	0	0	0	0
0167	火炮31	0	0	0	0	0	7920	0	0	0	0	264	396	0	130	0	0	0	0	0	0	0	0
0168	火炮32	0	0	0	0	0	8516	0	0	0	0	276	415	0	100	0	0	0	0	0	0	0	0
0169	火炮33	0	0	0	0	0	9798	0	0	0	0	288	432	0	139	0	0	0	0	0	0	0	0
0170	OSM500mm舰炮	0	0	0	0	0	11205	0	0	0	0	294	441	0	145	0	0	0	0	0	0	0	0
0171	火炮35	0	0	0	0	0	11956	0	0	0	0	306	459	0	148	0	0	0	0	0	0	0	0
0172	火炮36	0	0	0	0	0	13559	0	0	0	0	318	478	0	154	0	0	0	0	0	0	0	0
0173	配件21	0	0	0	0	0	7260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0174	配件22	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0175	配件23	0	0	0	0	0	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0176	配件24	0	0	0	0	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0177	配件25	0	0	0	0	0	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0178	配件26	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0179	配件27	0	0	0	0	0	10959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0180	配件28	0	0	0	0	0	11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0181	配件29	0	0	0	0	0	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0182	配件30	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0183	配件31	0	0	0	0	0	990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0184	配件32	0	0	0	0	0	1134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0185	配件33	0	0	0	0	0	1292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0186	配件34	0	0	0	0	0	1464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0187	配件35	0	0	0	0	0	1652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0188	配件36	0	0	0	0	0	1856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0189	配件37	0	0	0	0	0	2076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0190	配件38	0	0	0	0	0	2313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0191	配件39	0	0	0	0	0	2568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0192	配件40	0	0	0	0	0	2842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0193	配件41	0	0	0	0	0	3135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0194	配件42	0	0	0	0	0	3447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0195	配件43	0	0	0	0	0	3780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0196	配件44	0	0	0	0	0	4134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0197	配件45	0	0	0	0	0	4510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0198	配件46	0	0	0	0	0	4908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0199	配件47	0	0	0	0	0	5330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0200	配件48	0	0	0	0	0	5775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0201	配件49	0	0	0	0	0	6244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0202	配件50	0	0	0	0	0	6739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0203	配件51	0	0	0	0	0	7260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0204	配件52	0	0	0	0	0	7806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0205	配件53	0	0	0	0	0	8380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0206	配件54	0	0	0	0	0	8982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0207	配件55	0	0	0	0	0	9612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0208	配件56	0	0	0	0	0	10271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0209	配件57	0	0	0	0	0	10959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0210	配件58	0	0	0	0	0	11679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0211	配件59	0	0	0	0	0	12429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0212	配件60	0	0	0	0	0	13210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
