//ID	模型文件	中文名称	Photo名称	flag	ObjTypeID	dummy	dummy2	高度偏移	播放时间	LightID	基准值
156	01040011.par	心灵之火人物持续	海浪	0	0	-1	-1	0	1	0	-1
157	firelighting02.par	诅咒之火释放	海浪	0	0	-1	-1	0	1	0	-1
158	fireghosth.par	诅咒之火人物持续	海浪	0	0	-1	-1	0	1	0	-1
159	angel.par	天使护盾	海浪	0	0	-1	-1	0	1	0	-1
160	01000019.par	天使护盾人物命中	海浪	0	0	-1	-1	0	1	0	-1
161	01040034.par	天使护盾人物持续	海浪	0	0	-1	-1	0	1	0	-1
162	01020020.par	圣职纹章人物命中	海浪	0	0	-1	-1	0	1	0	-1
163	01040014.par	圣职纹章人物持续	海浪	0	0	-1	-1	0	1	0	-1
164	01020021.par	天使祈愿人物命中	海浪	0	0	-1	-1	0	1	0	-1
165	spahurt.par	回复温泉地面持续	海浪	0	0	-1	-1	0	1	0	-1
166	01040033.par	回复温泉人物持续	海浪	0	0	-1	-1	0	1	0	-1
167	01000020.par	幸运之光施放	海浪	0	0	-1	-1	0	1	0	-1
168	01020022.par	幸运之光人物命中	海浪	0	0	-1	-1	0	1	0	-1
169	01040016.par	幸运之光人物持续	海浪	0	0	-1	-1	0	1	0	-1
170	01020040.par	风之领主人物命中	海浪	0	0	-1	1	0	1	0	-1
171	01020024.par	急速风暴人物命中	海浪	0	0	-1	-1	0	1	0	-1
172	01040017.par	急速风暴人物持续	海浪	0	0	-1	-1	0	1	0	-1
173	01030003.par	闪躲壁障地面持续	海浪	0	0	-1	-1	0	1	0	-1
174	01040018.par	闪躲壁障人物持续	海浪	0	0	-1	-1	0	1	0	-1
175	feye.par	圣眼之翼施放	海浪	0	0	-1	-1	0	1	0	-1
176	01000021.par	圣眼之翼人物持续	海浪	0	0	-1	-1	0	1	0	-1
177	01020025.par	贤者封印人物命中	海浪	0	0	-1	-1	0	1	0	-1
178	01040020.par	贤者封印人物持续	海浪	0	0	-1	-1	0	1	0	-1
179	shadow01.par	暗影之章地面命中	海浪	0	0	-1	-1	0	1	0	-1
180	shadowh.par	暗影之章人物持续	海浪	0	0	-1	-1	0	1	0	-1
181	01020027.par	十字束缚人物命中	海浪	0	0	-1	-1	0	1	0	-1
182	01040022.par	十字束缚人物持续	海浪	0	0	-1	-1	0	1	0	-1
183	01000022.par	回复天使施放	海浪	0	0	-1	-1	0	1	0	-1
184	01010004.par	回复天使地面命中	海浪	0	0	-1	1	0	1	0	-1
185	fireghostt.par	诅咒之火地面命中	海浪	0	0	-1	-1	0	1	0	-1
186	01000014.par	幻影斩施放	海浪	0	0	-1	-1	0	1	0	-1
187	bang02.par	重击施放	海浪	0	0	-1	-1	0	1	0	-1
188	01000025.par	兽王之拳施放	海浪	0	0	-1	-1	0	1	0	-1
189	01000026.par	冰冻箭施放	海浪	0	0	-1	-1	0	1	0	-1
190	hpushf.par	心灵冲撞施放	海浪	0	0	-1	-1	0	1	0	-1
191	01000028.par	心灵之火施放	海浪	0	0	-1	-1	0	1	0	-1
192	01000029.par	风之领主施放	海浪	0	0	-1	-1	0	1	0	-1
193	01000030.par	极速风暴施放	海浪	0	0	-1	-1	0	1	0	-1
194	angel1.par	天使护盾道具释放	海浪	0	0	-1	-1	0	1	0	-1
195	01020028.par	幻影斩命中	海浪	0	0	-1	-1	0	1	0	-1
196	bang.par	重击命中	海浪	0	0	-1	-1	0	1	0	-1
197	01020030.par	兽王之拳命中	海浪	0	0	-1	-1	0	1	0	-1
198	poisont.par	毒标命中	海浪	0	0	-1	-1	0	1	0	-1
199	01020032.par	麻痹命中	海浪	0	0	-1	-1	0	1	0	-1
200	01020033.par	冰冻箭命中	海浪	0	0	-1	-1	0	1	0	-1
201	01020034.par	心灵冲撞命中	海浪	0	0	-1	1	0	1	0	-1
202	01020035.par	心灵之火命中	海浪	0	0	-1	-1	0	1	0	-1
203	01020036.par	急速风暴命中	海浪	0	0	-1	-1	0	1	0	-1
204	seal.par	天使护盾命中	海浪	0	0	-1	-1	0	1	0	-1
205	01020038.par	贤者封印命中	海浪	0	0	-1	-1	0	1	0	-1
206	01040011.par	心灵之火持续	海浪	0	0	-1	-1	0	1	0	-1
207	01040025.par	风之领主持续	海浪	0	0	-1	-1	0	1	0	-1
208	01040035.par	急速风暴持续	海浪	0	0	-1	-1	0	1	0	-1
209	01040027.par	天使护盾持续	海浪	0	0	-1	-1	0	1	0	-1
210	01040028.par	技能禁止持续	海浪	0	0	-1	-1	0	1	0	-1
211	barrierh.par	心灵屏障持续	海浪	0	0	-1	-1	0	1	0	-1
212	01040030.par	冰冻箭持续	海浪	0	0	-1	-1	0	1	0	-1
213	01000032.par	鹰眼释放	海浪	0	0	-1	-1	0	1	0	-1
214	01040032.par	鹰眼持续	海浪	0	0	-1	-1	0	1	0	-1
215	01020044.par	鹰眼命中	海浪	0	0	-1	-1	0	1	0	-1
216	01050021.par	挖矿特效	海浪	0	0	-1	-1	0	1	0	-1
217	01030010.par	普通刀光幻影	海浪	0	0	-1	-1	0	1	0	-1
218	swordlight02.par	刀光02	海浪	0	0	-1	-1	0	1	0	-1
219	01000011.par	小回复术释放	海浪	0	0	-1	-1	0	1	0	-1
220	swordlightj.par	刀光	海浪	0	0	-1	-1	0	1	0	-1
221	fushe.par	辐射	海浪	0	0	-1	-1	0	1	0	-1
222	penhuo.par	喷火	海浪	0	0	-1	-1	0	1	0	-1
223	shanguang.par	闪光	海浪	0	0	-1	-1	0	1	0	-1
224	shihuac.par	石化人物持续	海浪	0	0	-1	-1	0	1	0	-1
226	01010505.par	章鱼技能命中	海浪	0	0	-1	-1	0	1	0	-1
227	01010506.par	针刺曼陀罗命中	海浪	0	0	-2	-1	0	1	0	-1
229	01030006.par	飞熊猫命中	海浪	0	0	-1	-1	0	1	0	-1
230	01010511.par	地精长老命中	海浪	0	0	-1	-1	0	1	0	-1
231	01010510.par	水精灵命中	海浪	0	0	-1	-1	0	1	0	-1
232	01010513.par	珍珠贝命中	海浪	0	0	-1	-1	0	1	0	-1
233	01010507.par	小冰龙命中	海浪	0	0	-1	-1	0	1	0	-1
234	01010508.par	大冰龙命中	海浪	0	0	-1	-1	0	1	0	-1
235	01010514.par	射水贝命中	海浪	0	0	-1	-1	0	1	0	-1
236	firegush.par	狂暴命中	海浪	0	0	-1	-1	0	1	0	-1
237	abysm02.par	深渊沼泽释放	海浪	0	0	-1	-1	0	1	0	-1
238	abysm01.par	深渊沼泽道具释放	海浪	0	0	-1	-1	0	1	0	-1
239	abysm03.par	深渊沼泽命中	海浪	0	0	-1	-1	0	1	0	-1
240	abysm04.par	深渊沼泽持续	海浪	0	0	-1	-1	0	1	0	-1
241	spa.par	回复温泉释放	海浪	0	0	-1	-1	0	1	0	-1
242	spaf.par	回复温泉道具释放	海浪	0	0	-1	-1	0	1	0	-1
243	firelighting01.par	诅咒之火道具释放	海浪	0	0	-1	-1	0	1	0	-1
244	shadowf01.par	暗影之章释放	海浪	0	0	-1	-1	0	1	0	-1
245	shadowi.par	暗影之章道具释放	海浪	0	0	-1	-1	0	1	0	-1
246	barrierf.par	心灵屏障释放	海浪	0	0	-1	-1	0	1	0	-1
247	barrieri.par	心灵屏障道具释放	海浪	0	0	-1	-1	0	1	0	-1
248	barriert.par	心灵屏障命中	海浪	0	0	-1	-1	0	1	0	-1
249	poisonf.par	毒标释放	海浪	0	0	-1	-1	0	1	0	-1
250	poisonh.par	毒标持续	海浪	0	0	-1	-1	0	1	0	-1
251	dancet.par	鬼舞斩命中	海浪	0	0	-1	-1	0	1	0	-1
252	dancef.par	鬼舞斩释放	海浪	0	0	-1	-1	0	1	0	-1
253	danceh.par	鬼舞斩持续	海浪	0	0	-1	-1	0	1	0	-1
254	01000033.par	燃烧弹释放	海浪	0	0	-1	-1	0	1	0	-1
255	01000033(a).par	燃烧弹道具释放	海浪	0	0	-2	-1	0	1	0	-1
256	01000016.par	爆头道具释放	海浪	0	0	-1	-1	0	1	0	-1
257	04000008.par	爆头道具释放发射	海浪	0	0	-2	-1	0	1	0	-1
258	01020013(a).par	爆头命中	海浪	0	0	-1	-1	0	1	0	-1
259	01040007.par	手狙道具持续	海浪	0	0	-1	-1	0	1	0	-1
260	04000011.par	手狙道具释放发射	海浪	0	0	-2	-1	0	1	0	-1
261	01020013(b).par	手狙命中	海浪	0	0	-1	-1	0	1	0	-1
262	spurtice.par	雪女喷霜	海浪	0	0	-2	-1	0	1	0	-1
263	01060008.par	龟王起浪受击	海浪	0	0	-2	-1	0	1	0	-1
264	01060006.par	遗迹守护者受击	海浪	0	0	-2	-1	0	1	0	-1
265	cowfire.par	贝壳冲击波	海浪	0	0	-2	-1	0	1	0	-1
266	cowdust.par	贝壳冲击尘土	海浪	0	0	-2	-1	0	1	0	-1
267	cowtarget.par	贝壳冲击受击	海浪	0	0	-2	-1	0	1	0	-1
268	spagh.par	回复温泉地面持续	海浪	0	0	-1	-1	0	1	0	-1
269	strik.par	雷击释放	海浪	0	0	-1	-1	0	1	0	-1
270	strhurt.par	雷击受击	海浪	0	0	-2	-1	0	1	0	-1
271	strc.par	雷击持续	海浪	0	0	-1	-1	0	1	0	-1
272	wind.par	飓风释放	海浪	0	0	-1	-1	0	1	0	-1
273	whurt.par	飓风命中	海浪	0	0	-1	-1	0	1	0	-1
274	windc.par	飓风持续	海浪	0	0	-1	-1	0	1	0	-1
275	aglef.par	海藻釋放	海浪	0	0	-1	-1	0	1	0	-1
276	agle.par	海藻命中	海浪	0	0	-2	-1	0	1	0	-1
277	aglec.par	海藻持續	海浪	0	0	-1	-1	0	1	0	-1
278	eddy.par	漩渦釋放	海浪	0	0	-2	-1	0	1	0	-1
279	eddyhurt.par	漩渦命中	海浪	0	0	-2	-1	0	1	0	-1
280	eddyc.par	漩渦持續	海浪	0	0	-2	-1	0	1	0	-1
281	fog.par	迷霧釋放	海浪	0	0	-1	-1	0	1	0	-1
282	foghurt.par	迷霧命中	海浪	0	0	-2	-1	0	1	0	-1
283	fogc.par	迷霧持續	海浪	0	0	-1	-1	0	1	0	-1
284	cannon01.par	普通砲彈釋放	海浪	0	0	-2	-1	0	1	0	-1
285	obey.par	順風釋放	海浪	0	0	-2	-1	0	1	0	-1
286	obeyhurt.par	順風命中	海浪	0	0	-1	-1	0	1	0	-1
287	obeyc.par	順風持續	海浪	0	0	-1	-1	0	1	0	-1
288	levin.par	雷幕釋放	海浪	0	0	-2	-1	0	1	0	-1
289	levinh.par	雷幕命中	海浪	0	0	-2	-1	0	1	0	-1
290	levinc.par	雷幕地面命中	海浪	0	0	-2	-1	0	1	0	-1
291	00000004.par	风区	海浪	0	0	-2	-1	0	1	0	-1
292	00000006.par	雷区	海浪	0	0	-2	-1	0	1	0	-1
293	00000005.par	雾区	海浪	0	0	-2	-1	0	1	0	-1
294	tiger.par	虎啸释放	海浪	0	0	-1	-1	0	1	0	-1
295	tigerc.par	虎啸持续	海浪	0	0	-1	-1	0	1	0	-1
296	icearrow.par	冰箭释放	海浪	0	0	-1	-1	0	1	0	-1
297	icearrowc.par	冰箭持续	海浪	0	0	-1	-1	0	1	0	-1
298	parrow.par	毒箭释放	海浪	0	0	-1	-1	0	1	0	-1
299	stoneshieldi.par	石盾释放	海浪	0	0	-1	-1	0	1	0	-1
300	stoneshieldt.par	石盾命中	海浪	0	0	-1	-1	0	1	0	-1
301	shijia.par	石盾持续	海浪	0	0	-1	-1	0	1	0	-1
302	rousec.par	奋起持续	海浪	0	0	-1	-1	0	1	0	-1
303	rouse.par	奋起释放	海浪	0	0	-1	-1	0	1	0	-1
304	shield.par	破甲释放	海浪	0	0	-1	-1	0	1	0	-1
305	shieldh.par	破甲命中	海浪	0	0	-1	-1	0	1	0	-1
306	pojia.par	破甲持续	海浪	0	0	-1	-1	0	1	0	-1
307	steel.par	钢铁意志释放	海浪	0	0	-1	-1	0	1	0	-1
308	toil.par	捕鱼释放	海浪	0	0	-1	-1	0	1	0	-1
309	toilh.par	打捞沉船	海浪	0	0	-1	-1	0	1	0	-1
310	iron.par	打捞释放	海浪	0	0	-1	-1	0	1	0	-1
311	01050038.par	守护天使释放	海浪	0	0	10	-1	0	1	0	-1
312	01050041.par	女神思念体释放	海浪	0	0	-1	-1	0	1	0	-1
313	01050042.par	女神思念体释放	海浪	0	0	-1	-1	0	1	0	-1
314	01050045.par	女神思念体命中	海浪	0	0	-2	-1	0	1	0	-1
315	cannon04.par	普通炮弹2	海浪	0	0	-1	-1	0	1	0	-1
316	cannon02.par	普通炮弹1	海浪	0	0	-1	-1	0	1	0	-1
317	cxsw1.par	死亡嘲笑释放	海浪	0	0	-1	-1	0	1	0	-1
318	cxsw2.par	死亡嘲笑命中	海浪	0	0	-1	-1	0	1	0	-1
319	cxsw3.par	死亡嘲笑持续	海浪	0	0	-1	-1	0	1	0	-1
320	xn.par	血怒释放	海浪	0	0	-1	-1	0	1	0	-1
321	xncx.par	血怒持续	海浪	0	0	-1	-1	0	1	0	-1
322	xnjz.par	血怒命中	海浪	0	0	-1	-1	0	1	0	-1
323	nbjz.par	泥巴命中	海浪	0	0	-1	-1	0	1	0	-1
324	nbcx.par	泥巴持续	海浪	0	0	-1	-1	0	1	0	-1
325	dzsf.par	地震释放	海浪	0	0	-1	-1	0	1	0	-1
326	dzmz.par	地震命中	海浪	0	0	-1	-1	0	1	0	-1
327	bwsf.par	冰吻释放	海浪	0	0	-1	-1	0	1	0	-1
328	bwsj.par	冰吻受击	海浪	0	0	-1	-1	0	1	0	-1
329	bwcx.par	冰吻持续	海浪	0	0	-1	-1	0	1	0	-1
330	frsf.par	风刃释放	海浪	0	0	-1	-1	0	1	0	-1
331	frsfb.par	风刃释放b	海浪	0	0	-1	-1	0	1	0	-1
332	frsj.par	风刃受击	海浪	0	0	-1	-1	0	1	0	-1
333	mosterlight.par	巨人首领刀光	海浪	0	0	-1	-1	0	1	0	-1
334	stars.par	剪发成功	海浪	0	0	-1	-1	0	1	0	-1
335	starsb.par	剪发失败	海浪	0	0	-1	-1	0	1	0	-1
336	cfsf.par	嘲讽释放	海浪	0	0	-1	-1	0	1	0	-1
337	cfsj.par	嘲讽受击	海浪	0	0	-1	-1	0	1	0	-1
338	pxsf.par	咆哮释放	海浪	0	0	-1	-1	0	1	0	-1
339	sgfire.par	上古BOSS绿火释放	海浪	0	0	-1	-1	0	1	0	-1
340	sgbjg.par	上古BOSS激光释放	海浪	0	0	-1	-1	0	1	0	-1
341	sgfiremz.par	上古BOSS绿火命中	海浪	0	0	-1	-1	0	1	0	-1
342	pkkp.par	PK炮塔开炮	海浪	0	0	-1	-1	0	1	0	-1
343	mfbda.par	魔法暴动持续	海浪	0	0	-1	-1	0	1	0	-1
344	mfbdb.par	魔法暴动释放	海浪	0	0	-1	-1	0	1	0	-1
345	jlcg.par	精炼成功	海浪	0	0	-1	-1	0	1	0	-1
346	jlsb.par	精炼失败	海浪	0	0	-1	-1	0	1	0	-1
347	corpse.par	僵尸普通攻击	海浪	0	0	-2	-1	0	1	0	-1
348	corpse2jq.par	僵尸攻击聚气	海浪	0	0	-1	-1	0	1	0	-1
349	corpse2.par	僵尸攻击释放	海浪	0	0	-1	-1	0	1	0	-1
350	hdrmf.par	狐道士魔法释放	海浪	0	0	-1	-1	0	1	0	-1
351	hdrmffx.par	狐道士魔法飞行	海浪	0	0	-1	-1	0	1	0	-1
352	hymf.par	狐妖魔法释放	海浪	0	0	-1	-1	0	1	0	-1
353	hymffx.par	狐妖魔法飞行	海浪	0	0	-1	-1	0	1	0	-1
354	ilui.par	i	海浪	0	0	-1	-1	0	1	0	-1
355	ilul.par	love	海浪	0	0	-1	-1	0	1	0	-1
356	iluu.par	u	海浪	0	0	-1	-1	0	1	0	-1
357	iluwo.par	我	海浪	0	0	-1	-1	0	1	0	-1
358	iluai.par	爱	海浪	0	0	-1	-1	0	1	0	-1
359	iluni.par	你	海浪	0	0	-1	-1	0	1	0	-1
360	denglong.par	灯笼	海浪	0	0	-1	-1	0	1	0	-1
361	yanhua.par	烟火a1	海浪	0	0	-1	-1	0	1	0	-1
362	yanhuaa.par	烟火a2	海浪	0	0	-1	-1	0	1	0	-1
363	yanhuae.par	烟火a3	海浪	0	0	-1	-1	0	1	0	-1
364	yanhuared.par	烟火b1	海浪	0	0	-1	-1	0	1	0	-1
365	yanhuaared.par	烟火b2	海浪	0	0	-1	-1	0	1	0	-1
366	yanhuaered.par	烟火b3	海浪	0	0	-1	-1	0	1	0	-1
367	yanhuablue.par	烟火c1	海浪	0	0	-1	-1	0	1	0	-1
368	yanhuaablue.par	烟火c2	海浪	0	0	-1	-1	0	1	0	-1
369	yanhuaeblue.par	烟火c3	海浪	0	0	-1	-1	0	1	0	-1
370	ilu.par	好爱你啊	海浪	0	0	-1	-1	0	1	0	-1
371	mh.par	狐妖魔法魅惑	海浪	0	0	-1	-1	0	1	0	-1
372	hxsf.par	狐仙魔法释放	海浪	0	0	-1	-1	0	1	0	-1
373	hxhl.par	狐仙葫芦释放	海浪	0	0	-1	-1	0	1	0	-1
374	tt.par	图腾攻击释放	海浪	0	0	-1	-1	0	1	0	-1
375	qzmf.par	酋长魔法	海浪	0	0	-1	-1	0	1	0	-1
376	icedragonhit01.par	冰龙1受击	海浪	0	0	-1	-1	0	1	0	-1
377	icedragonhit02.par	冰龙2受击	海浪	0	0	-1	-1	0	1	0	-1
378	xr2.par	蟹绒持续	海浪	0	0	-1	-1	0	1	0	-1
379	kj.par	黑龙恐惧	海浪	0	0	-1	-1	0	1	0	-1
380	bhsd.par	冰河时代	海浪	0	0	-1	-1	0	1	0	-1
											
381	hlsw.par	狐狸死亡	海浪	0	0	6	-1	0	1	0	-1
382	hfjd.par	基地红死亡	海浪	0	0	6	-1	0	1	0	-1
383	lfjd.par	基地蓝死亡	海浪	0	0	6	-1	0	1	0	-1
384	pkpt.par	PK炮台红死亡	海浪	0	0	6	-1	0	1	0	-1
385	pkptb.par	PK炮台蓝死亡	海浪	0	0	6	-1	0	1	0	-1
386	zp.par	帐篷红死亡	海浪	0	0	6	-1	0	1	0	-1
387	zpb.par	帐篷蓝死亡	海浪	0	0	6	-1	0	1	0	-1
388	xmb.par	小卖部红死亡	海浪	0	0	6	-1	0	1	0	-1
389	xmbb.par	小卖部蓝死亡	海浪	0	0	6	-1	0	1	0	-1
390	slbz.par	水雷爆炸	海浪	0	0	6	-1	0	1	0	-1
391	ptbz.par	炮台死亡	海浪	0	0	6	-1	0	1	0	-1
392	01050021.par	铁匠火星	海浪	0	0	6	-1	0	1	0	-1
393	01060003.par	小冰龙死亡	海浪	0	0	-1	-1	0	1	0	-1
394	01060004.par	守卫死亡	海浪	0	0	-1	-1	0	1	0	-1
395	01060002.par	冰龙死亡	海浪	0	0	-1	-1	0	1	0	-1
396	01060005.par	食人花	海浪	0	0	-1	-1	0	1	0	-1
397	01060001.par	火灵	海浪	0	0	-1	-1	0	1	0	-1
398	ghost.par	npc死亡	海浪	0	0	-1	-1	0	1	0	-1
399	born.par	npc出生	海浪	0	0	-1	-1	0	1	0	-1
400	03000001.par	雷霆法帐	海浪	3	0	4	-1	0	0	0	-1
401	03000002.par	生命之光	海浪	3	0	4	-1	0	0	0	-1
402	03000003.par	魔法棒	海浪	3	0	4	-1	0	0	0	-1
403	redstone01.par	红宝石1	海浪	3	0	4,5	-1	0	0	0	-1
404	redstone02.par	红宝石2	海浪	3	0	4	-1	0	0	0	-1
405	redstone03.par	红宝石3	海浪	3	0	4	-1	0	0	0	-1
406	bluestone01.par	蓝宝石1	海浪	3	0	4,5	-1	0	0	0	-1
407	bluestone02.par	蓝宝石2	海浪	3	0	4	-1	0	0	0	-1
408	bluestone03.par	蓝宝石3	海浪	3	0	4	-1	0	0	0	-1
409	yellowstone01.par	黄宝石1	海浪	3	0	4,5	-1	0	0	0	-1
410	yellowstone02.par	黄宝石2	海浪	3	0	4	-1	0	0	0	-1
411	yellowstone03.par	黄宝石3	海浪	3	0	4	-1	0	0	0	-1
412	refinestone.par	精炼石	海浪	3	0	4	-1	0	0	0	-1
413	jinbi.par	金币	海浪	3	0	4	-1	0	0	0	-1
414	zhaohuan2.par	召唤宠物	海浪	0	0	2	-1	0	1	0	-1
415	jst.par	减速塔	海浪	0	0	10	-1	0	1	0	-1
416	xmt.par	吸魔塔	海浪	0	0	10	-1	0	1	0	-1
417	szz.par	双子特效	海浪	0	0	-1	-1	0	1	0	-1
418	szgj.par	双子攻击	海浪	0	0	-1	-1	0	1	0	-1
419	jiaxue.par	双子加血	海浪	0	0	-1	-1	0	1	0	-1
450	01050009.par	机器人黑烟	海浪	1	0	16,17	-1	0	0	0	-1
451	01050006.par	半兽人烟	海浪	1	0	5	-1	0	0	0	-1
452	01050001.par	奔奔驼尘	海浪	1	0	4,5	-1	0	0	0	-1
453	01050001.par	沙骑兵尘	海浪	1	0	5,6	-1	0	0	0	-1
454	01050007.par	水精灵	海浪	1	0	1	-1	0	0	0	-1
455	01050010.par	千年女尸	海浪	1	0	6,9	-1	0	0	0	-1
456	01050005.par	南瓜人火	海浪	1	0	7,8	-1	0	0	0	-1
457	01050005_1.par	南瓜人火	海浪	1	0	10	-1	0	0	0	-1
