//序号	发型名字	颜色	需求物品0	需求物品1	需求物品2	需求物品3	需要金钱	相关模型	失败发型模型	可用角色1	可用角色2	可用角色3	可用角色4	道具表编号	模型命名
28	蓝崎发型4	紫	1807,1	1808,1	1803,5	1806,1	100000	2032	1999	1	0	0	0	2032	0000320001
29	蓝崎发型5	白	1807,1	1808,1	4610,5	1804,1	100000	2004	1999	1	0	0	0	2004	0000040001
30	蓝崎发型5	红	1807,1	1808,1	1797,5	1804,1	100000	2033	1999	1	0	0	0	2033	0000330001
31	蓝崎发型5	橙	1807,1	1808,1	1798,5	1804,1	100000	2034	1999	1	0	0	0	2034	0000340001
32	蓝崎发型5	黄	1807,1	1808,1	1799,5	1804,1	100000	2035	1999	1	0	0	0	2035	0000350001
33	蓝崎发型5	绿	1807,1	1808,1	1800,5	1804,1	100000	2036	1999	1	0	0	0	2036	0000360001
34	蓝崎发型5	青	1807,1	1808,1	1801,5	1804,1	100000	2037	1999	1	0	0	0	2037	0000370001
35	蓝崎发型5	蓝	1807,1	1808,1	1802,5	1804,1	100000	2038	1999	1	0	0	0	2038	0000380001
36	蓝崎发型5	紫	1807,1	1808,1	1803,5	1804,1	100000	2039	1999	1	0	0	0	2039	0000390001
37	蓝崎发型6	黑	1807,1	1808,1	4607,5	1805,1	100000	2005	1999	1	0	0	0	2005	0000050001
38	蓝崎发型6	红	1807,1	1808,1	1797,5	1805,1	100000	2040	1999	1	0	0	0	2040	0000400001
39	蓝崎发型6	橙	1807,1	1808,1	1798,5	1805,1	100000	2041	1999	1	0	0	0	2041	0000410001
40	蓝崎发型6	黄	1807,1	1808,1	1799,5	1805,1	100000	2042	1999	1	0	0	0	2042	0000420001
41	蓝崎发型6	绿	1807,1	1808,1	1800,5	1805,1	100000	2043	1999	1	0	0	0	2043	0000430001
42	蓝崎发型6	青	1807,1	1808,1	1801,5	1805,1	100000	2044	1999	1	0	0	0	2044	0000440001
43	蓝崎发型6	蓝	1807,1	1808,1	1802,5	1805,1	100000	2045	1999	1	0	0	0	2045	0000450001
44	蓝崎发型6	紫	1807,1	1808,1	1803,5	1805,1	100000	2046	1999	1	0	0	0	2046	0000460001
45	蓝崎发型7	黑	1807,1	1808,1	4607,5	1806,1	100000	2006	1999	1	0	0	0	2006	0000060001
46	蓝崎发型7	红	1807,1	1808,1	1797,5	1806,1	100000	2047	1999	1	0	0	0	2047	0000470001
47	蓝崎发型7	橙	1807,1	1808,1	1798,5	1806,1	100000	2048	1999	1	0	0	0	2048	0000480001
48	蓝崎发型7	黄	1807,1	1808,1	1799,5	1806,1	100000	2049	1999	1	0	0	0	2049	0000490001
49	蓝崎发型7	绿	1807,1	1808,1	1800,5	1806,1	100000	2050	1999	1	0	0	0	2050	0000500001
50	蓝崎发型7	青	1807,1	1808,1	1801,5	1806,1	100000	2051	1999	1	0	0	0	2051	0000510001
51	蓝崎发型7	蓝	1807,1	1808,1	1802,5	1806,1	100000	2052	1999	1	0	0	0	2052	0000520001
52	蓝崎发型7	紫	1807,1	1808,1	1803,5	1806,1	100000	2053	1999	1	0	0	0	2053	0000530001
53	蓝崎发型8	红	1807,1	1808,1	1797,5	1804,1	100000	2054	1999	1	0	0	0	2054	0000540001
54	蓝崎发型8	橙	1807,1	1808,1	1798,5	1804,1	100000	2055	1999	1	0	0	0	2055	0000550001
55	蓝崎发型8	黄	1807,1	1808,1	1799,5	1804,1	100000	2056	1999	1	0	0	0	2056	0000560001
56	蓝崎发型8	绿	1807,1	1808,1	1800,5	1804,1	100000	2057	1999	1	0	0	0	2057	0000570001
57	蓝崎发型8	青	1807,1	1808,1	1801,5	1804,1	100000	2058	1999	1	0	0	0	2058	0000580001
58	蓝崎发型8	蓝	1807,1	1808,1	1802,5	1804,1	100000	2059	1999	1	0	0	0	2059	0000590001
59	蓝崎发型8	紫	1807,1	1808,1	1803,5	1804,1	100000	2007	1999	1	0	0	0	2007	0000070001
60	卡西斯发型1	黑	1807,1	1809,1	4607,5	1805,1	100000	2062	2121	0	1	0	0	2062	0001000001
61	卡西斯发型1	红	1807,1	1809,1	1797,5	1805,1	100000	2071	2121	0	1	0	0	2071	0001090001
62	卡西斯发型1	橙	1807,1	1809,1	1798,5	1805,1	100000	2072	2121	0	1	0	0	2072	0001100001
63	卡西斯发型1	黄	1807,1	1809,1	1799,5	1805,1	100000	2073	2121	0	1	0	0	2073	0001110001
64	卡西斯发型1	绿	1807,1	1809,1	1800,5	1805,1	100000	2074	2121	0	1	0	0	2074	0001120001
65	卡西斯发型1	青	1807,1	1809,1	1801,5	1805,1	100000	2075	2121	0	1	0	0	2075	0001130001
66	卡西斯发型1	蓝	1807,1	1809,1	1802,5	1805,1	100000	2076	2121	0	1	0	0	2076	0001140001
67	卡西斯发型1	紫	1807,1	1809,1	1803,5	1805,1	100000	2077	2121	0	1	0	0	2077	0001150001
68	卡西斯发型2	红	1807,1	1809,1	1797,5	1806,1	100000	2078	2121	0	1	0	0	2078	0001160001
69	卡西斯发型2	橙	1807,1	1809,1	1798,5	1806,1	100000	2079	2121	0	1	0	0	2079	0001170001
70	卡西斯发型2	黄	1807,1	1809,1	1799,5	1806,1	100000	2063	2121	0	1	0	0	2063	0001010001
71	卡西斯发型2	绿	1807,1	1809,1	1800,5	1806,1	100000	2080	2121	0	1	0	0	2080	0001180001
72	卡西斯发型2	青	1807,1	1809,1	1801,5	1806,1	100000	2081	2121	0	1	0	0	2081	0001190001
73	卡西斯发型2	蓝	1807,1	1809,1	1802,5	1806,1	100000	2082	2121	0	1	0	0	2082	0001200001
74	卡西斯发型2	紫	1807,1	1809,1	1803,5	1806,1	100000	2083	2121	0	1	0	0	2083	0001210001
75	卡西斯发型3	红	1807,1	1809,1	1797,5	1804,1	100000	2084	2121	0	1	0	0	2084	0001220001
76	卡西斯发型3	橙	1807,1	1809,1	1798,5	1804,1	100000	2085	2121	0	1	0	0	2085	0001230001
77	卡西斯发型3	黄	1807,1	1809,1	1799,5	1804,1	100000	2064	2121	0	1	0	0	2064	0001020001
78	卡西斯发型3	绿	1807,1	1809,1	1800,5	1804,1	100000	2086	2121	0	1	0	0	2086	0001240001
79	卡西斯发型3	青	1807,1	1809,1	1801,5	1804,1	100000	2087	2121	0	1	0	0	2087	0001250001
80	卡西斯发型3	蓝	1807,1	1809,1	1802,5	1804,1	100000	2088	2121	0	1	0	0	2088	0001260001
81	卡西斯发型3	紫	1807,1	1809,1	1803,5	1804,1	100000	2089	2121	0	1	0	0	2089	0001270001
82	卡西斯发型4	黑	1807,1	1809,1	4607,5	1805,1	100000	2065	2121	0	1	0	0	2065	0001030001
83	卡西斯发型4	红	1807,1	1809,1	1797,5	1805,1	100000	2090	2121	0	1	0	0	2090	0001280001
84	卡西斯发型4	橙	1807,1	1809,1	1798,5	1805,1	100000	2091	2121	0	1	0	0	2091	0001290001
85	卡西斯发型4	黄	1807,1	1809,1	1799,5	1805,1	100000	2092	2121	0	1	0	0	2092	0001300001
86	卡西斯发型4	绿	1807,1	1809,1	1800,5	1805,1	100000	2093	2121	0	1	0	0	2093	0001310001
87	卡西斯发型4	青	1807,1	1809,1	1801,5	1805,1	100000	2094	2121	0	1	0	0	2094	0001320001
88	卡西斯发型4	蓝	1807,1	1809,1	1802,5	1805,1	100000	2095	2121	0	1	0	0	2095	0001330001
89	卡西斯发型4	紫	1807,1	1809,1	1803,5	1805,1	100000	2096	2121	0	1	0	0	2096	0001340001
90	卡西斯发型5	无	1807,1	1809,1	4607,5	1804,1	100000	2066	2121	0	1	0	0	2066	0001040001
91	卡西斯发型5	黑	1807,1	1809,1	4607,5	1806,1	100000	2097	2121	0	1	0	0	2097	0001350001
92	卡西斯发型5	红	1807,1	1809,1	1797,5	1806,1	100000	2098	2121	0	1	0	0	2098	0001360001
93	卡西斯发型5	蓝	1807,1	1809,1	1802,5	1806,1	100000	2099	2121	0	1	0	0	2099	0001370001
94	卡西斯发型5	绿	1807,1	1809,1	1800,5	1806,1	100000	2100	2121	0	1	0	0	2100	0001380001
95	卡西斯发型6	黑	1807,1	1809,1	4607,5	1804,1	100000	2067	2121	0	1	0	0	2067	0001050001
96	卡西斯发型6	红	1807,1	1809,1	1797,5	1804,1	100000	2101	2121	0	1	0	0	2101	0001390001
97	卡西斯发型6	橙	1807,1	1809,1	1798,5	1804,1	100000	2102	2121	0	1	0	0	2102	0001400001
98	卡西斯发型6	黄	1807,1	1809,1	1799,5	1804,1	100000	2103	2121	0	1	0	0	2103	0001410001
99	卡西斯发型6	绿	1807,1	1809,1	1800,5	1804,1	100000	2104	2121	0	1	0	0	2104	0001420001
100	卡西斯发型6	青	1807,1	1809,1	1801,5	1804,1	100000	2105	2121	0	1	0	0	2105	0001430001
101	卡西斯发型6	蓝	1807,1	1809,1	1802,5	1804,1	100000	2106	2121	0	1	0	0	2106	0001440001
102	卡西斯发型6	紫	1807,1	1809,1	1803,5	1804,1	100000	2107	2121	0	1	0	0	2107	0001450001
103	卡西斯发型7	红	1807,1	1809,1	1797,5	1805,1	100000	2108	2121	0	1	0	0	2108	0001460001
104	卡西斯发型7	橙	1807,1	1809,1	1798,5	1805,1	100000	2109	2121	0	1	0	0	2109	0001470001
105	卡西斯发型7	黄	1807,1	1809,1	1799,5	1805,1	100000	2110	2121	0	1	0	0	2110	0001480001
106	卡西斯发型7	绿	1807,1	1809,1	1800,5	1805,1	100000	2111	2121	0	1	0	0	2111	0001490001
107	卡西斯发型7	青	1807,1	1809,1	1801,5	1805,1	100000	2112	2121	0	1	0	0	2112	0001500001
108	卡西斯发型7	蓝	1807,1	1809,1	1802,5	1805,1	100000	2113	2121	0	1	0	0	2113	0001510001
109	卡西斯发型7	紫	1807,1	1809,1	1803,5	1805,1	100000	2068	2121	0	1	0	0	2068	0001060001
110	卡西斯发型8	白	1807,1	1809,1	4610,5	1806,1	100000	2069	2121	0	1	0	0	2069	0001070001
111	卡西斯发型8	红	1807,1	1809,1	1797,5	1806,1	100000	2114	2121	0	1	0	0	2114	0001520001
112	卡西斯发型8	橙	1807,1	1809,1	1798,5	1806,1	100000	2115	2121	0	1	0	0	2115	0001530001
113	卡西斯发型8	黄	1807,1	1809,1	1799,5	1806,1	100000	2116	2121	0	1	0	0	2116	0001540001
114	卡西斯发型8	绿	1807,1	1809,1	1800,5	1806,1	100000	2117	2121	0	1	0	0	2117	0001550001
115	卡西斯发型8	青	1807,1	1809,1	1801,5	1806,1	100000	2118	2121	0	1	0	0	2118	0001560001
116	卡西斯发型8	蓝	1807,1	1809,1	1802,5	1806,1	100000	2119	2121	0	1	0	0	2119	0001570001
117	卡西斯发型8	紫	1807,1	1809,1	1803,5	1806,1	100000	2120	2121	0	1	0	0	2120	0001580001
118	菲丽尔发型1	褐	1807,1	1810,1	4609,5	1804,1	100000	2124	2182	0	0	1	0	2124	0002000001
119	菲丽尔发型1	红	1807,1	1810,1	1797,5	1804,1	100000	2133	2182	0	0	1	0	2133	0002090001
120	菲丽尔发型1	橙	1807,1	1810,1	1798,5	1804,1	100000	2134	2182	0	0	1	0	2134	0002100001
121	菲丽尔发型1	黄	1807,1	1810,1	1799,5	1804,1	100000	2135	2182	0	0	1	0	2135	0002110001
122	菲丽尔发型1	绿	1807,1	1810,1	1800,5	1804,1	100000	2136	2182	0	0	1	0	2136	0002120001
123	菲丽尔发型1	青	1807,1	1810,1	1801,5	1804,1	100000	2137	2182	0	0	1	0	2137	0002130001
124	菲丽尔发型1	蓝	1807,1	1810,1	1802,5	1804,1	100000	2138	2182	0	0	1	0	2138	0002140001
125	菲丽尔发型1	紫	1807,1	1810,1	1803,5	1804,1	100000	2139	2182	0	0	1	0	2139	0002150001
126	菲丽尔发型2	红	1807,1	1810,1	1797,5	1805,1	100000	2140	2182	0	0	1	0	2140	0002160001
127	菲丽尔发型2	橙	1807,1	1810,1	1798,5	1805,1	100000	2141	2182	0	0	1	0	2141	0002170001
128	菲丽尔发型2	黄	1807,1	1810,1	1799,5	1805,1	100000	2125	2182	0	0	1	0	2125	0002010001
129	菲丽尔发型2	绿	1807,1	1810,1	1800,5	1805,1	100000	2142	2182	0	0	1	0	2142	0002180001
130	菲丽尔发型2	青	1807,1	1810,1	1801,5	1805,1	100000	2143	2182	0	0	1	0	2143	0002190001
131	菲丽尔发型2	蓝	1807,1	1810,1	1802,5	1805,1	100000	2144	2182	0	0	1	0	2144	0002200001
132	菲丽尔发型2	紫	1807,1	1810,1	1803,5	1805,1	100000	2145	2182	0	0	1	0	2145	0002210001
133	菲丽尔发型3	红	1807,1	1810,1	1797,5	1806,1	100000	2146	2182	0	0	1	0	2146	0002220001
134	菲丽尔发型3	橙	1807,1	1810,1	1798,5	1806,1	100000	2147	2182	0	0	1	0	2147	0002230001
135	菲丽尔发型3	黄	1807,1	1810,1	1799,5	1806,1	100000	2148	2182	0	0	1	0	2148	0002240001
136	菲丽尔发型3	绿	1807,1	1810,1	1800,5	1806,1	100000	2149	2182	0	0	1	0	2149	0002250001
137	菲丽尔发型3	青	1807,1	1810,1	1801,5	1806,1	100000	2150	2182	0	0	1	0	2150	0002260001
138	菲丽尔发型3	蓝	1807,1	1810,1	1802,5	1806,1	100000	2126	2182	0	0	1	0	2126	0002020001
139	菲丽尔发型3	紫	1807,1	1810,1	1803,5	1806,1	100000	2151	2182	0	0	1	0	2151	0002270001
140	菲丽尔发型4	红	1807,1	1810,1	1797,5	1804,1	100000	2127	2182	0	0	1	0	2127	0002030001
141	菲丽尔发型4	橙	1807,1	1810,1	1798,5	1804,1	100000	2152	2182	0	0	1	0	2152	0002280001
142	菲丽尔发型4	黄	1807,1	1810,1	1799,5	1804,1	100000	2153	2182	0	0	1	0	2153	0002290001
143	菲丽尔发型4	绿	1807,1	1810,1	1800,5	1804,1	100000	2154	2182	0	0	1	0	2154	0002300001
144	菲丽尔发型4	青	1807,1	1810,1	1801,5	1804,1	100000	2155	2182	0	0	1	0	2155	0002310001
145	菲丽尔发型4	蓝	1807,1	1810,1	1802,5	1804,1	100000	2156	2182	0	0	1	0	2156	0002320001
146	菲丽尔发型4	紫	1807,1	1810,1	1803,5	1804,1	100000	2157	2182	0	0	1	0	2157	0002330001
147	菲丽尔发型5	红	1807,1	1810,1	1797,5	1805,1	100000	2158	2182	0	0	1	0	2158	0002340001
148	菲丽尔发型5	橙	1807,1	1810,1	1798,5	1805,1	100000	2159	2182	0	0	1	0	2159	0002350001
149	菲丽尔发型5	黄	1807,1	1810,1	1799,5	1805,1	100000	2160	2182	0	0	1	0	2160	0002360001
150	菲丽尔发型5	绿	1807,1	1810,1	1800,5	1805,1	100000	2161	2182	0	0	1	0	2161	0002370001
151	菲丽尔发型5	青	1807,1	1810,1	1801,5	1805,1	100000	2162	2182	0	0	1	0	2162	0002380001
152	菲丽尔发型5	蓝	1807,1	1810,1	1802,5	1805,1	100000	2128	2182	0	0	1	0	2128	0002040001
153	菲丽尔发型5	紫	1807,1	1810,1	1803,5	1805,1	100000	2163	2182	0	0	1	0	2163	0002390001
154	菲丽尔发型6	红	1807,1	1810,1	1797,5	1806,1	100000	2164	2182	0	0	1	0	2164	0002400001
155	菲丽尔发型6	橙	1807,1	1810,1	1798,5	1806,1	100000	2165	2182	0	0	1	0	2165	0002410001
156	菲丽尔发型6	黄	1807,1	1810,1	1799,5	1806,1	100000	2166	2182	0	0	1	0	2166	0002420001
157	菲丽尔发型6	绿	1807,1	1810,1	1800,5	1806,1	100000	2167	2182	0	0	1	0	2167	0002430001
158	菲丽尔发型6	青	1807,1	1810,1	1801,5	1806,1	100000	2168	2182	0	0	1	0	2168	0002440001
159	菲丽尔发型6	蓝	1807,1	1810,1	1802,5	1806,1	100000	2169	2182	0	0	1	0	2169	0002450001
160	菲丽尔发型6	紫	1807,1	1810,1	1803,5	1806,1	100000	2129	2182	0	0	1	0	2129	0002050001
161	菲丽尔发型7	红	1807,1	1810,1	1797,5	1804,1	100000	2170	2182	0	0	1	0	2170	0002460001
162	菲丽尔发型7	橙	1807,1	1810,1	1798,5	1804,1	100000	2171	2182	0	0	1	0	2171	0002470001
163	菲丽尔发型7	黄	1807,1	1810,1	1799,5	1804,1	100000	2172	2182	0	0	1	0	2172	0002480001
164	菲丽尔发型7	绿	1807,1	1810,1	1800,5	1804,1	100000	2173	2182	0	0	1	0	2173	0002490001
165	菲丽尔发型7	青	1807,1	1810,1	1801,5	1804,1	100000	2174	2182	0	0	1	0	2174	0002500001
166	菲丽尔发型7	蓝	1807,1	1810,1	1802,5	1804,1	100000	2130	2182	0	0	1	0	2130	0002060001
167	菲丽尔发型7	紫	1807,1	1810,1	1803,5	1804,1	100000	2175	2182	0	0	1	0	2175	0002510001
168	菲丽尔发型8	红	1807,1	1810,1	1797,5	1805,1	100000	2176	2182	0	0	1	0	2176	0002520001
169	菲丽尔发型8	橙	1807,1	1810,1	1798,5	1805,1	100000	2131	2182	0	0	1	0	2131	0002070001
170	菲丽尔发型8	黄	1807,1	1810,1	1799,5	1805,1	100000	2177	2182	0	0	1	0	2177	0002530001
171	菲丽尔发型8	绿	1807,1	1810,1	1800,5	1805,1	100000	2178	2182	0	0	1	0	2178	0002540001
172	菲丽尔发型8	青	1807,1	1810,1	1801,5	1805,1	100000	2179	2182	0	0	1	0	2179	0002550001
173	菲丽尔发型8	蓝	1807,1	1810,1	1802,5	1805,1	100000	2180	2182	0	0	1	0	2180	0002560001
174	菲丽尔发型8	紫	1807,1	1810,1	1803,5	1805,1	100000	2181	2182	0	0	1	0	2181	0002570001
175	艾米发型1	红	1807,1	1811,1	1797,5	1806,1	100000	2247	2271	0	0	0	1	2247	0003880001
176	艾米发型1	橙	1807,1	1811,1	1798,5	1806,1	100000	2291	2271	0	0	0	1	2291	0003620001
177	艾米发型1	黄	1807,1	1811,1	1799,5	1806,1	100000	2248	2271	0	0	0	1	2248	0003890001
178	艾米发型1	绿	1807,1	1811,1	1800,5	1806,1	100000	2249	2271	0	0	0	1	2249	0003900001
179	艾米发型1	青	1807,1	1811,1	1801,5	1806,1	100000	2250	2271	0	0	0	1	2250	0003910001
180	艾米发型1	蓝	1807,1	1811,1	1802,5	1806,1	100000	2251	2271	0	0	0	1	2251	0003660001
181	艾米发型1	紫	1807,1	1811,1	1803,5	1806,1	100000	2252	2271	0	0	0	1	2252	0003670001
182	艾米发型2	红	1807,1	1811,1	1797,5	1804,1	100000	2253	2271	0	0	0	1	2253	0003680001
183	艾米发型2	橙	1807,1	1811,1	1798,5	1804,1	100000	2292	2271	0	0	0	1	2292	0003630001
184	艾米发型2	黄	1807,1	1811,1	1799,5	1804,1	100000	2254	2271	0	0	0	1	2254	0003690001
185	艾米发型2	绿	1807,1	1811,1	1800,5	1804,1	100000	2255	2271	0	0	0	1	2255	0003700001
186	艾米发型2	青	1807,1	1811,1	1801,5	1804,1	100000	2256	2271	0	0	0	1	2256	0003710001
187	艾米发型2	蓝	1807,1	1811,1	1802,5	1804,1	100000	2257	2271	0	0	0	1	2257	0003720001
188	艾米发型2	紫	1807,1	1811,1	1803,5	1804,1	100000	2258	2271	0	0	0	1	2258	0003730001
189	艾米发型3	红	1807,1	1811,1	1797,5	1805,1	100000	2259	2271	0	0	0	1	2259	0003740001
190	艾米发型3	橙	1807,1	1811,1	1798,5	1805,1	100000	2293	2271	0	0	0	1	2293	0003640001
191	艾米发型3	黄	1807,1	1811,1	1799,5	1805,1	100000	2260	2271	0	0	0	1	2260	0003750001
192	艾米发型3	绿	1807,1	1811,1	1800,5	1805,1	100000	2261	2271	0	0	0	1	2261	0003760001
193	艾米发型3	青	1807,1	1811,1	1801,5	1805,1	100000	2262	2271	0	0	0	1	2262	0003770001
194	艾米发型3	蓝	1807,1	1811,1	1802,5	1805,1	100000	2263	2271	0	0	0	1	2263	0003780001
195	艾米发型3	紫	1807,1	1811,1	1803,5	1805,1	100000	2264	2271	0	0	0	1	2264	0003790001
196	艾米发型4	红	1807,1	1811,1	1797,5	1806,1	100000	2265	2271	0	0	0	1	2265	0003800001
197	艾米发型4	橙	1807,1	1811,1	1798,5	1806,1	100000	2294	2271	0	0	0	1	2294	0003650001
198	艾米发型4	黄	1807,1	1811,1	1799,5	1806,1	100000	2266	2271	0	0	0	1	2266	0003810001
199	艾米发型4	绿	1807,1	1811,1	1800,5	1806,1	100000	2267	2271	0	0	0	1	2267	0003820001
200	艾米发型4	青	1807,1	1811,1	1801,5	1806,1	100000	2268	2271	0	0	0	1	2268	0003830001
201	艾米发型4	蓝	1807,1	1811,1	1802,5	1806,1	100000	2269	2271	0	0	0	1	2269	0003840001
202	艾米发型4	紫	1807,1	1811,1	1803,5	1806,1	100000	2270	2271	0	0	0	1	2270	0003850001
203	蓝琦新潮发型1	红	1807,1	0931,1	1797,20	1806,10	100000	2276	1999	1	0	0	0	2276	0000630001
204	蓝琦新潮发型2	青	1807,1	0931,1	1801,20	1805,10	100000	2278	1999	1	0	0	0	2278	0000650001
205	卡西斯新潮发型1	黄	1807,1	0932,1	1799,20	1806,10	100000	2280	2121	0	1	0	0	2280	0003830001
206	卡西斯新潮发型2	黑	1807,1	0932,1	4607,20	1805,10	100000	2282	2121	0	1	0	0	2282	0003850001
207	菲丽尔新潮发型1	紫	1807,1	0933,1	1803,20	1806,10	100000	2284	2182	0	0	1	0	2284	0002600001
208	菲丽尔新潮发型2	红	1807,1	0933,1	1797,20	1805,10	100000	2286	2182	0	0	1	0	2286	0002620001
209	艾米新潮发型1	黄	1807,1	0934,1	1799,20	1804,10	100000	2287	2271	0	0	0	1	2287	0003920001
210	艾米新潮发型2	黄	1807,1	0934,1	1799,20	1805,10	100000	2288	2271	0	0	0	1	2288	0003930001
