[09-28 09:28:00]AddBoatLevel: count, level, money, exp 1  2  2  4  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[09-28 09:28:00]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 1  2  2  4  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 2  3  5  9  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 3  4  8  16  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 4  5  13  25  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 5  6  18  36  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 6  7  24  49  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 7  8  31  64  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 8  9  40  81  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 9  10  50  100  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 10  11  61  121  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 11  12  75  144  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 12  13  91  169  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 13  14  109  196  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 14  15  130  225  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 15  16  155  256  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 16  17  183  289  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 17  18  216  324  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 18  19  253  361  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 19  20  296  400  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 20  21  345  441  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 21  22  402  484  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 22  23  466  529  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 23  24  540  576  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 24  25  625  625  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 25  26  721  676  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 26  27  831  729  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 27  28  957  784  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[09-28 15:43:21]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 1  2  2  4  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 2  3  5  9  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 3  4  8  16  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 4  5  13  25  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 5  6  18  36  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 6  7  24  49  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 7  8  31  64  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 8  9  40  81  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 9  10  50  100  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 10  11  61  121  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 11  12  75  144  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 12  13  91  169  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 13  14  109  196  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 14  15  130  225  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 15  16  155  256  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 16  17  183  289  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 17  18  216  324  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 18  19  253  361  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 19  20  296  400  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 20  21  345  441  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 21  22  402  484  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 22  23  466  529  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 23  24  540  576  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 24  25  625  625  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 25  26  721  676  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 26  27  831  729  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 27  28  957  784  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 57  58  49058  3364  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 58  59  55703  3481  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 59  60  63242  3600  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 60  61  71795  3721  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 61  62  81499  3844  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 62  63  92508  3969  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[10-08 17:34:56]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 1  2  2  4  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 2  3  5  9  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 3  4  8  16  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 4  5  13  25  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 5  6  18  36  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 6  7  24  49  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 7  8  31  64  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 8  9  40  81  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 9  10  50  100  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 10  11  61  121  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 11  12  75  144  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 12  13  91  169  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 13  14  109  196  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 14  15  130  225  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 15  16  155  256  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 16  17  183  289  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 17  18  216  324  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 18  19  253  361  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 19  20  296  400  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 20  21  345  441  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 21  22  402  484  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 22  23  466  529  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 23  24  540  576  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 24  25  625  625  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 25  26  721  676  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 26  27  831  729  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 27  28  957  784  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 28  29  1101  841  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 29  30  1264  900  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 30  31  1451  961  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 31  32  1663  1024  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 32  33  1905  1089  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 33  34  2180  1156  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 34  35  2494  1225  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 35  36  2850  1296  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 36  37  3256  1369  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 37  38  3718  1444  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 38  39  4242  1521  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 39  40  4838  1600  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 40  41  5516  1681  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 41  42  6286  1764  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 42  43  7161  1849  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 43  44  8154  1936  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 44  45  9283  2025  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 45  46  10565  2116  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 46  47  12020  2209  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 47  48  13672  2304  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 48  49  15548  2401  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 49  50  17677  2500  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 50  51  20094  2601  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 51  52  22837  2704  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 52  53  25950  2809  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 53  54  29483  2916  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 54  55  33492  3025  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 55  56  38041  3136  
[10-08 17:51:56]AddBoatLevel: count, level, money, exp 56  57  43202  3249  
