[09-28 09:28:00]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-17 20:14:54]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 02:03:06]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 02:03:06]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 02:03:06]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 02:03:06]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 07:40:17]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 07:40:17]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 07:40:17]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 07:40:17]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 10:42:46]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 10:42:46]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 10:42:46]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 10:42:46]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 10:46:28]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 10:46:28]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 10:46:28]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 10:46:28]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 12:59:20]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 12:59:20]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 12:59:20]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 12:59:20]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 13:13:51]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 13:13:51]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 13:13:51]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 13:13:51]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 15:12:25]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 15:12:25]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 15:12:25]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 15:12:25]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[11-28 17:08:57]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[11-28 17:08:57]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[11-28 17:08:57]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[11-28 17:08:57]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[12-02 03:46:42]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[12-02 03:46:42]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[12-02 03:46:42]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[12-02 03:46:42]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[12-02 08:06:46]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[12-02 08:06:46]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[12-02 08:06:46]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[12-02 08:06:46]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[12-02 15:43:45]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[12-02 15:43:45]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[12-02 15:43:45]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[12-02 15:43:45]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
[06-06 16:02:55]设置木材资源打包信息：Level, ItemID, Count, PileID 1  4543  10  4547  
[06-06 16:02:55]设置矿石资源打包信息：level, ItemID, Count, PileID 1  4544  10  4548  
[06-06 16:02:55]设置矿石资源打包信息：level, ItemID, Count, PileID 2  4545  10  4549  
[06-06 16:02:55]设置矿石资源打包信息：level, ItemID, Count, PileID 3  4546  10  4550  
