[09-28 09:28:18]can't find pointer map[magicsea], keep former map!
[10-13 21:44:17]can't find pointer map[lonetower], keep former map!
[10-13 21:44:17]can't find pointer map[secretgarden], keep former map!
[10-13 21:44:17]can't find pointer map[secretgarden], keep former map!
[10-13 21:44:17]can't find pointer map[secretgarden], keep former map!
[10-13 21:44:17]can't find pointer map[eastgoaf], keep former map!
[10-13 21:44:17]can't find pointer map[guildwar], keep former map!
[10-13 21:44:17]can't find pointer map[guildwar2], keep former map!
[10-13 21:44:17]can't find pointer map[guildwar], keep former map!
[10-13 21:44:17]can't find pointer map[guildwar2], keep former map!
[10-13 21:44:17]can't find pointer map[07xmas2], keep former map!
[10-13 22:59:28]can't find pointer map[garner], keep former map!
[10-13 22:59:28]can't find pointer map[darkblue], keep former map!
[10-13 22:59:28]can't find pointer map[lonetower], keep former map!
[10-13 22:59:28]can't find pointer map[secretgarden], keep former map!
[10-13 22:59:28]can't find pointer map[secretgarden], keep former map!
[10-13 22:59:28]can't find pointer map[secretgarden], keep former map!
[10-13 22:59:28]can't find pointer map[eastgoaf], keep former map!
[10-13 22:59:28]can't find pointer map[guildwar], keep former map!
[10-13 22:59:28]can't find pointer map[guildwar2], keep former map!
[10-13 22:59:28]can't find pointer map[guildwar], keep former map!
[10-13 22:59:28]can't find pointer map[guildwar2], keep former map!
[10-13 22:59:28]can't find pointer map[07xmas2], keep former map!
[10-16 20:55:55]can't find pointer map[magicsea], keep former map!
[10-16 20:55:55]can't find pointer map[darkblue], keep former map!
[10-16 20:55:55]can't find pointer map[lonetower], keep former map!
[10-16 20:55:55]can't find pointer map[secretgarden], keep former map!
[10-16 20:55:55]can't find pointer map[secretgarden], keep former map!
[10-16 20:55:55]can't find pointer map[secretgarden], keep former map!
[10-16 20:55:55]can't find pointer map[eastgoaf], keep former map!
[10-16 20:55:55]can't find pointer map[guildwar], keep former map!
[10-16 20:55:55]can't find pointer map[guildwar2], keep former map!
[10-16 20:55:55]can't find pointer map[guildwar], keep former map!
[10-16 20:55:55]can't find pointer map[guildwar2], keep former map!
[10-16 20:55:55]can't find pointer map[07xmas2], keep former map!
[10-17 18:49:22]can't find pointer map[magicsea], keep former map!
[10-17 18:49:22]can't find pointer map[darkblue], keep former map!
[10-17 18:49:22]can't find pointer map[lonetower], keep former map!
[10-17 18:49:22]can't find pointer map[secretgarden], keep former map!
[10-17 18:49:22]can't find pointer map[secretgarden], keep former map!
[10-17 18:49:22]can't find pointer map[secretgarden], keep former map!
[10-17 18:49:22]can't find pointer map[eastgoaf], keep former map!
[10-17 18:49:22]can't find pointer map[guildwar], keep former map!
[10-17 18:49:22]can't find pointer map[guildwar2], keep former map!
[10-17 18:49:22]can't find pointer map[guildwar], keep former map!
[10-17 18:49:22]can't find pointer map[guildwar2], keep former map!
[10-17 18:49:22]can't find pointer map[07xmas2], keep former map!
[10-17 18:51:17]can't find pointer map[garner], keep former map!
[10-17 18:51:17]can't find pointer map[darkblue], keep former map!
[10-17 18:51:17]can't find pointer map[lonetower], keep former map!
[10-17 18:51:17]can't find pointer map[secretgarden], keep former map!
[10-17 18:51:17]can't find pointer map[secretgarden], keep former map!
[10-17 18:51:17]can't find pointer map[secretgarden], keep former map!
[10-17 18:51:17]can't find pointer map[eastgoaf], keep former map!
[10-17 18:51:17]can't find pointer map[guildwar], keep former map!
[10-17 18:51:17]can't find pointer map[guildwar2], keep former map!
[10-17 18:51:17]can't find pointer map[guildwar], keep former map!
[10-17 18:51:17]can't find pointer map[guildwar2], keep former map!
[10-17 18:51:17]can't find pointer map[07xmas2], keep former map!
[10-18 23:39:16]can't find pointer map[garner], keep former map!
[10-18 23:39:16]can't find pointer map[darkblue], keep former map!
[10-18 23:39:16]can't find pointer map[lonetower], keep former map!
[10-18 23:39:16]can't find pointer map[secretgarden], keep former map!
[10-18 23:39:16]can't find pointer map[secretgarden], keep former map!
[10-18 23:39:16]can't find pointer map[secretgarden], keep former map!
[10-18 23:39:16]can't find pointer map[eastgoaf], keep former map!
[10-18 23:39:16]can't find pointer map[guildwar], keep former map!
[10-18 23:39:16]can't find pointer map[guildwar2], keep former map!
[10-18 23:39:16]can't find pointer map[guildwar], keep former map!
[10-18 23:39:16]can't find pointer map[guildwar2], keep former map!
[10-18 23:39:16]can't find pointer map[07xmas2], keep former map!
[10-19 01:46:36]can't find pointer map[garner], keep former map!
[10-19 01:46:37]can't find pointer map[darkblue], keep former map!
[10-19 01:46:37]can't find pointer map[lonetower], keep former map!
[10-19 01:46:37]can't find pointer map[secretgarden], keep former map!
[10-19 01:46:37]can't find pointer map[secretgarden], keep former map!
[10-19 01:46:37]can't find pointer map[secretgarden], keep former map!
[10-19 01:46:37]can't find pointer map[eastgoaf], keep former map!
[10-19 01:46:37]can't find pointer map[guildwar], keep former map!
[10-19 01:46:37]can't find pointer map[guildwar2], keep former map!
[10-19 01:46:37]can't find pointer map[guildwar], keep former map!
[10-19 01:46:37]can't find pointer map[guildwar2], keep former map!
[10-19 01:46:37]can't find pointer map[07xmas2], keep former map!
[10-19 01:53:36]can't find pointer map[garner], keep former map!
[10-19 01:53:36]can't find pointer map[darkblue], keep former map!
[10-19 01:53:36]can't find pointer map[lonetower], keep former map!
[10-19 01:53:36]can't find pointer map[secretgarden], keep former map!
[10-19 01:53:36]can't find pointer map[secretgarden], keep former map!
[10-19 01:53:36]can't find pointer map[secretgarden], keep former map!
[10-19 01:53:36]can't find pointer map[eastgoaf], keep former map!
[10-19 01:53:36]can't find pointer map[guildwar], keep former map!
[10-19 01:53:36]can't find pointer map[guildwar2], keep former map!
[10-19 01:53:36]can't find pointer map[guildwar], keep former map!
[10-19 01:53:36]can't find pointer map[guildwar2], keep former map!
[10-19 01:53:36]can't find pointer map[07xmas2], keep former map!
[10-19 02:07:39]can't find pointer map[garner], keep former map!
[10-19 02:07:39]can't find pointer map[darkblue], keep former map!
[10-19 02:07:39]can't find pointer map[lonetower], keep former map!
[10-19 02:07:39]can't find pointer map[secretgarden], keep former map!
[10-19 02:07:39]can't find pointer map[secretgarden], keep former map!
[10-19 02:07:39]can't find pointer map[secretgarden], keep former map!
[10-19 02:07:39]can't find pointer map[eastgoaf], keep former map!
[10-19 02:07:39]can't find pointer map[guildwar], keep former map!
[10-19 02:07:39]can't find pointer map[guildwar2], keep former map!
[10-19 02:07:39]can't find pointer map[guildwar], keep former map!
[10-19 02:07:39]can't find pointer map[guildwar2], keep former map!
[10-19 02:07:39]can't find pointer map[07xmas2], keep former map!
[10-19 02:26:55]can't find pointer map[garner], keep former map!
[10-19 02:26:55]can't find pointer map[darkblue], keep former map!
[10-19 02:26:55]can't find pointer map[lonetower], keep former map!
[10-19 02:26:55]can't find pointer map[secretgarden], keep former map!
[10-19 02:26:55]can't find pointer map[secretgarden], keep former map!
[10-19 02:26:55]can't find pointer map[secretgarden], keep former map!
[10-19 02:26:55]can't find pointer map[eastgoaf], keep former map!
[10-19 02:26:55]can't find pointer map[guildwar], keep former map!
[10-19 02:26:55]can't find pointer map[guildwar2], keep former map!
[10-19 02:26:55]can't find pointer map[guildwar], keep former map!
[10-19 02:26:55]can't find pointer map[guildwar2], keep former map!
[10-19 02:26:55]can't find pointer map[07xmas2], keep former map!
[10-19 13:44:57]can't find pointer map[garner], keep former map!
[10-19 13:44:57]can't find pointer map[darkblue], keep former map!
[10-19 13:44:57]can't find pointer map[lonetower], keep former map!
[10-19 13:44:57]can't find pointer map[secretgarden], keep former map!
[10-19 13:44:57]can't find pointer map[secretgarden], keep former map!
[10-19 13:44:57]can't find pointer map[secretgarden], keep former map!
[10-19 13:44:57]can't find pointer map[eastgoaf], keep former map!
[10-19 13:44:57]can't find pointer map[guildwar], keep former map!
[10-19 13:44:57]can't find pointer map[guildwar2], keep former map!
[10-19 13:44:57]can't find pointer map[guildwar], keep former map!
[10-19 13:44:57]can't find pointer map[guildwar2], keep former map!
[10-19 13:44:57]can't find pointer map[07xmas2], keep former map!
[10-19 13:45:56]can't find pointer map[garner], keep former map!
[10-19 13:45:56]can't find pointer map[darkblue], keep former map!
[10-19 13:45:56]can't find pointer map[lonetower], keep former map!
[10-19 13:45:56]can't find pointer map[secretgarden], keep former map!
[10-19 13:45:56]can't find pointer map[secretgarden], keep former map!
[10-19 13:45:56]can't find pointer map[secretgarden], keep former map!
[10-19 13:45:56]can't find pointer map[eastgoaf], keep former map!
[10-19 13:45:56]can't find pointer map[guildwar], keep former map!
[10-19 13:45:56]can't find pointer map[guildwar2], keep former map!
[10-19 13:45:56]can't find pointer map[guildwar], keep former map!
[10-19 13:45:56]can't find pointer map[guildwar2], keep former map!
[10-19 13:45:56]can't find pointer map[07xmas2], keep former map!
[10-19 14:17:46]can't find pointer map[garner], keep former map!
[10-19 14:17:47]can't find pointer map[darkblue], keep former map!
[10-19 14:17:47]can't find pointer map[lonetower], keep former map!
[10-19 14:17:47]can't find pointer map[secretgarden], keep former map!
[10-19 14:17:47]can't find pointer map[secretgarden], keep former map!
[10-19 14:17:47]can't find pointer map[secretgarden], keep former map!
[10-19 14:17:47]can't find pointer map[eastgoaf], keep former map!
[10-19 14:17:47]can't find pointer map[guildwar], keep former map!
[10-19 14:17:47]can't find pointer map[guildwar2], keep former map!
[10-19 14:17:47]can't find pointer map[guildwar], keep former map!
[10-19 14:17:47]can't find pointer map[guildwar2], keep former map!
[10-19 14:17:47]can't find pointer map[07xmas2], keep former map!
[10-19 14:31:35]can't find pointer map[garner], keep former map!
[10-19 14:31:35]can't find pointer map[darkblue], keep former map!
[10-19 14:31:35]can't find pointer map[lonetower], keep former map!
[10-19 14:31:35]can't find pointer map[secretgarden], keep former map!
[10-19 14:31:35]can't find pointer map[secretgarden], keep former map!
[10-19 14:31:35]can't find pointer map[secretgarden], keep former map!
[10-19 14:31:35]can't find pointer map[eastgoaf], keep former map!
[10-19 14:31:35]can't find pointer map[guildwar], keep former map!
[10-19 14:31:35]can't find pointer map[guildwar2], keep former map!
[10-19 14:31:35]can't find pointer map[guildwar], keep former map!
[10-19 14:31:35]can't find pointer map[guildwar2], keep former map!
[10-19 14:31:35]can't find pointer map[07xmas2], keep former map!
[10-19 14:45:02]can't find pointer map[garner], keep former map!
[10-19 14:45:02]can't find pointer map[darkblue], keep former map!
[10-19 14:45:02]can't find pointer map[lonetower], keep former map!
[10-19 14:45:02]can't find pointer map[secretgarden], keep former map!
[10-19 14:45:02]can't find pointer map[secretgarden], keep former map!
[10-19 14:45:02]can't find pointer map[secretgarden], keep former map!
[10-19 14:45:02]can't find pointer map[eastgoaf], keep former map!
[10-19 14:45:02]can't find pointer map[guildwar], keep former map!
[10-19 14:45:02]can't find pointer map[guildwar2], keep former map!
[10-19 14:45:02]can't find pointer map[guildwar], keep former map!
[10-19 14:45:02]can't find pointer map[guildwar2], keep former map!
[10-19 14:45:02]can't find pointer map[07xmas2], keep former map!
[10-19 14:47:03]can't find pointer map[garner], keep former map!
[10-19 14:47:03]can't find pointer map[darkblue], keep former map!
[10-19 14:47:03]can't find pointer map[lonetower], keep former map!
[10-19 14:47:03]can't find pointer map[secretgarden], keep former map!
[10-19 14:47:03]can't find pointer map[secretgarden], keep former map!
[10-19 14:47:03]can't find pointer map[secretgarden], keep former map!
[10-19 14:47:03]can't find pointer map[eastgoaf], keep former map!
[10-19 14:47:03]can't find pointer map[guildwar], keep former map!
[10-19 14:47:03]can't find pointer map[guildwar2], keep former map!
[10-19 14:47:03]can't find pointer map[guildwar], keep former map!
[10-19 14:47:03]can't find pointer map[guildwar2], keep former map!
[10-19 14:47:03]can't find pointer map[07xmas2], keep former map!
[10-19 19:33:11]can't find pointer map[garner], keep former map!
[10-19 19:33:11]can't find pointer map[darkblue], keep former map!
[10-19 19:33:11]can't find pointer map[lonetower], keep former map!
[10-19 19:33:11]can't find pointer map[secretgarden], keep former map!
[10-19 19:33:11]can't find pointer map[secretgarden], keep former map!
[10-19 19:33:11]can't find pointer map[secretgarden], keep former map!
[10-19 19:33:11]can't find pointer map[eastgoaf], keep former map!
[10-19 19:33:11]can't find pointer map[guildwar], keep former map!
[10-19 19:33:11]can't find pointer map[guildwar2], keep former map!
[10-19 19:33:11]can't find pointer map[guildwar], keep former map!
[10-19 19:33:11]can't find pointer map[guildwar2], keep former map!
[10-19 19:33:11]can't find pointer map[07xmas2], keep former map!
[11-13 17:21:52]can't find pointer map[garner], keep former map!
[11-13 17:21:52]can't find pointer map[darkblue], keep former map!
[11-13 17:21:52]can't find pointer map[lonetower], keep former map!
[11-13 17:21:52]can't find pointer map[secretgarden], keep former map!
[11-13 17:21:52]can't find pointer map[secretgarden], keep former map!
[11-13 17:21:52]can't find pointer map[secretgarden], keep former map!
[11-13 17:21:52]can't find pointer map[eastgoaf], keep former map!
[11-13 17:21:52]can't find pointer map[guildwar], keep former map!
[11-13 17:21:52]can't find pointer map[guildwar2], keep former map!
[11-13 17:21:52]can't find pointer map[guildwar], keep former map!
[11-13 17:21:52]can't find pointer map[guildwar2], keep former map!
[11-13 17:21:52]can't find pointer map[07xmas2], keep former map!
[11-14 01:56:23]can't find pointer map[garner], keep former map!
[11-14 01:56:24]can't find pointer map[darkblue], keep former map!
[11-14 01:56:24]can't find pointer map[lonetower], keep former map!
[11-14 01:56:24]can't find pointer map[secretgarden], keep former map!
[11-14 01:56:24]can't find pointer map[secretgarden], keep former map!
[11-14 01:56:24]can't find pointer map[secretgarden], keep former map!
[11-14 01:56:24]can't find pointer map[eastgoaf], keep former map!
[11-14 01:56:24]can't find pointer map[guildwar], keep former map!
[11-14 01:56:24]can't find pointer map[guildwar2], keep former map!
[11-14 01:56:24]can't find pointer map[guildwar], keep former map!
[11-14 01:56:24]can't find pointer map[guildwar2], keep former map!
[11-14 01:56:24]can't find pointer map[07xmas2], keep former map!
[11-17 20:15:02]can't find pointer map[garner], keep former map!
[11-17 20:15:02]can't find pointer map[darkblue], keep former map!
[11-17 20:15:02]can't find pointer map[lonetower], keep former map!
[11-17 20:15:02]can't find pointer map[secretgarden], keep former map!
[11-17 20:15:02]can't find pointer map[secretgarden], keep former map!
[11-17 20:15:02]can't find pointer map[secretgarden], keep former map!
[11-17 20:15:02]can't find pointer map[eastgoaf], keep former map!
[11-17 20:15:02]can't find pointer map[guildwar], keep former map!
[11-17 20:15:02]can't find pointer map[guildwar2], keep former map!
[11-17 20:15:02]can't find pointer map[guildwar], keep former map!
[11-17 20:15:02]can't find pointer map[guildwar2], keep former map!
[11-17 20:15:02]can't find pointer map[07xmas2], keep former map!
[11-28 02:03:14]can't find pointer map[garner], keep former map!
[11-28 02:03:14]can't find pointer map[darkblue], keep former map!
[11-28 02:03:14]can't find pointer map[lonetower], keep former map!
[11-28 02:03:14]can't find pointer map[secretgarden], keep former map!
[11-28 02:03:14]can't find pointer map[secretgarden], keep former map!
[11-28 02:03:14]can't find pointer map[secretgarden], keep former map!
[11-28 02:03:14]can't find pointer map[eastgoaf], keep former map!
[11-28 02:03:14]can't find pointer map[guildwar], keep former map!
[11-28 02:03:14]can't find pointer map[guildwar2], keep former map!
[11-28 02:03:14]can't find pointer map[guildwar], keep former map!
[11-28 02:03:14]can't find pointer map[guildwar2], keep former map!
[11-28 02:03:14]can't find pointer map[07xmas2], keep former map!
[11-28 07:40:29]can't find pointer map[garner], keep former map!
[11-28 07:40:29]can't find pointer map[darkblue], keep former map!
[11-28 07:40:29]can't find pointer map[lonetower], keep former map!
[11-28 07:40:29]can't find pointer map[secretgarden], keep former map!
[11-28 07:40:29]can't find pointer map[secretgarden], keep former map!
[11-28 07:40:29]can't find pointer map[secretgarden], keep former map!
[11-28 07:40:29]can't find pointer map[eastgoaf], keep former map!
[11-28 07:40:29]can't find pointer map[guildwar], keep former map!
[11-28 07:40:29]can't find pointer map[guildwar2], keep former map!
[11-28 07:40:29]can't find pointer map[guildwar], keep former map!
[11-28 07:40:29]can't find pointer map[guildwar2], keep former map!
[11-28 07:40:29]can't find pointer map[07xmas2], keep former map!
[11-28 10:42:54]can't find pointer map[garner], keep former map!
[11-28 10:42:54]can't find pointer map[darkblue], keep former map!
[11-28 10:42:54]can't find pointer map[lonetower], keep former map!
[11-28 10:42:54]can't find pointer map[secretgarden], keep former map!
[11-28 10:42:54]can't find pointer map[secretgarden], keep former map!
[11-28 10:42:54]can't find pointer map[secretgarden], keep former map!
[11-28 10:42:54]can't find pointer map[eastgoaf], keep former map!
[11-28 10:42:54]can't find pointer map[guildwar], keep former map!
[11-28 10:42:54]can't find pointer map[guildwar2], keep former map!
[11-28 10:42:54]can't find pointer map[guildwar], keep former map!
[11-28 10:42:54]can't find pointer map[guildwar2], keep former map!
[11-28 10:42:54]can't find pointer map[07xmas2], keep former map!
[11-28 10:46:34]can't find pointer map[garner], keep former map!
[11-28 10:46:35]can't find pointer map[darkblue], keep former map!
[11-28 10:46:35]can't find pointer map[lonetower], keep former map!
[11-28 10:46:35]can't find pointer map[secretgarden], keep former map!
[11-28 10:46:35]can't find pointer map[secretgarden], keep former map!
[11-28 10:46:35]can't find pointer map[secretgarden], keep former map!
[11-28 10:46:35]can't find pointer map[guildwar], keep former map!
[11-28 10:46:35]can't find pointer map[guildwar2], keep former map!
[11-28 10:46:35]can't find pointer map[guildwar], keep former map!
[11-28 10:46:35]can't find pointer map[guildwar2], keep former map!
[11-28 10:46:35]can't find pointer map[07xmas2], keep former map!
[11-28 12:59:28]can't find pointer map[garner], keep former map!
[11-28 12:59:28]can't find pointer map[darkblue], keep former map!
[11-28 12:59:28]can't find pointer map[lonetower], keep former map!
[11-28 12:59:28]can't find pointer map[secretgarden], keep former map!
[11-28 12:59:28]can't find pointer map[secretgarden], keep former map!
[11-28 12:59:28]can't find pointer map[secretgarden], keep former map!
[11-28 12:59:28]can't find pointer map[eastgoaf], keep former map!
[11-28 12:59:28]can't find pointer map[guildwar], keep former map!
[11-28 12:59:28]can't find pointer map[guildwar2], keep former map!
[11-28 12:59:28]can't find pointer map[guildwar], keep former map!
[11-28 12:59:28]can't find pointer map[guildwar2], keep former map!
[11-28 12:59:28]can't find pointer map[07xmas2], keep former map!
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]create character failed
[11-28 13:13:59]can't find pointer map[garner], keep former map!
[11-28 13:13:59]can't find pointer map[darkblue], keep former map!
[11-28 13:13:59]can't find pointer map[lonetower], keep former map!
[11-28 13:13:59]can't find pointer map[secretgarden], keep former map!
[11-28 13:13:59]can't find pointer map[secretgarden], keep former map!
[11-28 13:13:59]can't find pointer map[secretgarden], keep former map!
[11-28 13:13:59]can't find pointer map[eastgoaf], keep former map!
[11-28 13:13:59]can't find pointer map[guildwar], keep former map!
[11-28 13:13:59]can't find pointer map[guildwar2], keep former map!
[11-28 13:13:59]can't find pointer map[guildwar], keep former map!
[11-28 13:13:59]can't find pointer map[guildwar2], keep former map!
[11-28 13:13:59]can't find pointer map[07xmas2], keep former map!
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]create character failed
[11-28 15:12:32]can't find pointer map[garner], keep former map!
[11-28 15:12:32]can't find pointer map[darkblue], keep former map!
[11-28 15:12:32]can't find pointer map[lonetower], keep former map!
[11-28 15:12:32]can't find pointer map[secretgarden], keep former map!
[11-28 15:12:32]can't find pointer map[secretgarden], keep former map!
[11-28 15:12:32]can't find pointer map[secretgarden], keep former map!
[11-28 15:12:32]can't find pointer map[eastgoaf], keep former map!
[11-28 15:12:32]can't find pointer map[guildwar], keep former map!
[11-28 15:12:32]can't find pointer map[guildwar2], keep former map!
[11-28 15:12:32]can't find pointer map[guildwar], keep former map!
[11-28 15:12:32]can't find pointer map[guildwar2], keep former map!
[11-28 15:12:32]can't find pointer map[07xmas2], keep former map!
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]create character failed
[11-28 17:09:04]can't find pointer map[garner], keep former map!
[11-28 17:09:04]can't find pointer map[darkblue], keep former map!
[11-28 17:09:04]can't find pointer map[lonetower], keep former map!
[11-28 17:09:04]can't find pointer map[secretgarden], keep former map!
[11-28 17:09:04]can't find pointer map[secretgarden], keep former map!
[11-28 17:09:04]can't find pointer map[secretgarden], keep former map!
[11-28 17:09:04]can't find pointer map[eastgoaf], keep former map!
[11-28 17:09:04]can't find pointer map[guildwar], keep former map!
[11-28 17:09:04]can't find pointer map[guildwar2], keep former map!
[11-28 17:09:04]can't find pointer map[guildwar], keep former map!
[11-28 17:09:04]can't find pointer map[guildwar2], keep former map!
[11-28 17:09:04]can't find pointer map[07xmas2], keep former map!
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]create character failed
[12-02 03:46:52]can't find pointer map[garner], keep former map!
[12-02 03:46:52]can't find pointer map[darkblue], keep former map!
[12-02 03:46:52]can't find pointer map[lonetower], keep former map!
[12-02 03:46:52]can't find pointer map[secretgarden], keep former map!
[12-02 03:46:52]can't find pointer map[secretgarden], keep former map!
[12-02 03:46:52]can't find pointer map[secretgarden], keep former map!
[12-02 03:46:52]can't find pointer map[eastgoaf], keep former map!
[12-02 03:46:52]can't find pointer map[guildwar], keep former map!
[12-02 03:46:52]can't find pointer map[guildwar2], keep former map!
[12-02 03:46:52]can't find pointer map[guildwar], keep former map!
[12-02 03:46:52]can't find pointer map[guildwar2], keep former map!
[12-02 03:46:52]can't find pointer map[07xmas2], keep former map!
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:55]create character failed
[12-02 08:06:56]can't find pointer map[garner], keep former map!
[12-02 08:06:56]can't find pointer map[darkblue], keep former map!
[12-02 08:06:56]can't find pointer map[lonetower], keep former map!
[12-02 08:06:56]can't find pointer map[secretgarden], keep former map!
[12-02 08:06:56]can't find pointer map[secretgarden], keep former map!
[12-02 08:06:56]can't find pointer map[secretgarden], keep former map!
[12-02 08:06:56]can't find pointer map[eastgoaf], keep former map!
[12-02 08:06:56]can't find pointer map[guildwar], keep former map!
[12-02 08:06:56]can't find pointer map[guildwar2], keep former map!
[12-02 08:06:56]can't find pointer map[guildwar], keep former map!
[12-02 08:06:56]can't find pointer map[guildwar2], keep former map!
[12-02 08:06:56]can't find pointer map[07xmas2], keep former map!
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
[12-02 15:43:55]create character failed
