[09-28 09:28:00]AddPfTable, curpf, uppf, count 1  8  1  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  2  1  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  3  2  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  4  3  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  5  4  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  7  5  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  11  6  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  12  7  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  13  8  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  14  9  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  15  10  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  16  11  
[09-28 15:43:21]AddCatTable, cat, pf, count  3  17  12  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  4  1  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  5  2  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  6  3  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  7  4  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  13  5  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  14  6  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  16  7  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  17  8  
[09-28 15:43:21]AddCatTable, cat, pf, count  4  18  9  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 1  8  1  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 1  9  2  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 1  10  3  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 2  11  1  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 2  12  2  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 3  15  1  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 4  16  1  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 5  13  1  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 5  14  2  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 6  18  1  
[10-08 17:34:56]AddPfTable, curpf, uppf, count 7  17  1  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  1  1  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  2  2  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  4  3  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  7  4  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  9  5  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  10  6  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  11  7  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  12  8  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  16  9  
[10-08 17:34:56]AddCatTable, cat, pf, count  1  17  10  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  1  1  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  3  2  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  6  3  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  7  4  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  8  5  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  10  6  
[10-08 17:34:56]AddCatTable, cat, pf, count  2  17  7  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  2  1  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  3  2  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  4  3  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  5  4  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  7  5  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  11  6  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  12  7  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  13  8  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  14  9  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  15  10  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  16  11  
[10-08 17:34:56]AddCatTable, cat, pf, count  3  17  12  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  4  1  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  5  2  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  6  3  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  7  4  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  13  5  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  14  6  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  16  7  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  17  8  
[10-08 17:34:56]AddCatTable, cat, pf, count  4  18  9  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 1  8  1  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 1  9  2  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 1  10  3  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 2  11  1  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 2  12  2  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 3  15  1  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 4  16  1  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 5  13  1  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 5  14  2  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 6  18  1  
[10-08 17:51:56]AddPfTable, curpf, uppf, count 7  17  1  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  1  1  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  2  2  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  4  3  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  7  4  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  9  5  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  10  6  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  11  7  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  12  8  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  16  9  
[10-08 17:51:56]AddCatTable, cat, pf, count  1  17  10  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  1  1  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  3  2  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  6  3  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  7  4  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  8  5  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  10  6  
[10-08 17:51:56]AddCatTable, cat, pf, count  2  17  7  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  2  1  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  3  2  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  4  3  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  5  4  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  7  5  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  11  6  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  12  7  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  13  8  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  14  9  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  15  10  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  16  11  
[10-08 17:51:56]AddCatTable, cat, pf, count  3  17  12  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  4  1  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  5  2  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  6  3  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  7  4  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  13  5  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  14  6  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  16  7  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  17  8  
[10-08 17:51:56]AddCatTable, cat, pf, count  4  18  9  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 1  8  1  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 1  9  2  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 1  10  3  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 2  11  1  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 2  12  2  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 3  15  1  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 4  16  1  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 5  13  1  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 5  14  2  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 6  18  1  
[10-13 11:08:23]AddPfTable, curpf, uppf, count 7  17  1  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  1  1  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  2  2  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  4  3  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  7  4  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  9  5  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  10  6  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  11  7  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  12  8  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  16  9  
[10-13 11:08:23]AddCatTable, cat, pf, count  1  17  10  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  1  1  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  3  2  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  6  3  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  7  4  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  8  5  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  10  6  
[10-13 11:08:23]AddCatTable, cat, pf, count  2  17  7  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  2  1  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  3  2  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  4  3  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  5  4  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  7  5  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  11  6  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  12  7  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  13  8  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  14  9  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  15  10  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  16  11  
[10-13 11:08:23]AddCatTable, cat, pf, count  3  17  12  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  4  1  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  5  2  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  6  3  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  7  4  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  13  5  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  14  6  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  16  7  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  17  8  
[10-13 11:08:23]AddCatTable, cat, pf, count  4  18  9  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 1  8  1  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 1  9  2  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 1  10  3  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 2  11  1  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 2  12  2  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 3  15  1  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 4  16  1  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 5  13  1  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 5  14  2  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 6  18  1  
[10-13 21:44:02]AddPfTable, curpf, uppf, count 7  17  1  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  1  1  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  2  2  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  4  3  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  7  4  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  9  5  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  10  6  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  11  7  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  12  8  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  16  9  
[10-13 21:44:02]AddCatTable, cat, pf, count  1  17  10  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  1  1  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  3  2  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  6  3  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  7  4  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  8  5  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  10  6  
[10-13 21:44:02]AddCatTable, cat, pf, count  2  17  7  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  2  1  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  3  2  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  4  3  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  5  4  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  7  5  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  11  6  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  12  7  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  13  8  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  14  9  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  15  10  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  16  11  
[10-13 21:44:02]AddCatTable, cat, pf, count  3  17  12  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  4  1  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  5  2  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  6  3  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  7  4  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  13  5  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  14  6  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  16  7  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  17  8  
[10-13 21:44:02]AddCatTable, cat, pf, count  4  18  9  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 1  8  1  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 1  9  2  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 1  10  3  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 2  11  1  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 2  12  2  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 3  15  1  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 4  16  1  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 5  13  1  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 5  14  2  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 6  18  1  
[10-13 22:59:15]AddPfTable, curpf, uppf, count 7  17  1  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  1  1  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  2  2  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  4  3  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  7  4  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  9  5  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  10  6  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  11  7  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  12  8  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  16  9  
[10-13 22:59:15]AddCatTable, cat, pf, count  1  17  10  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  1  1  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  3  2  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  6  3  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  7  4  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  8  5  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  10  6  
[10-13 22:59:15]AddCatTable, cat, pf, count  2  17  7  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  2  1  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  3  2  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  4  3  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  5  4  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  7  5  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  11  6  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  12  7  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  13  8  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  14  9  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  15  10  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  16  11  
[10-13 22:59:15]AddCatTable, cat, pf, count  3  17  12  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  4  1  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  5  2  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  6  3  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  7  4  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  13  5  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  14  6  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  16  7  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  17  8  
[10-13 22:59:15]AddCatTable, cat, pf, count  4  18  9  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 1  8  1  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 1  9  2  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 1  10  3  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 2  11  1  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 2  12  2  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 3  15  1  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 4  16  1  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 5  13  1  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 5  14  2  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 6  18  1  
[10-16 20:55:17]AddPfTable, curpf, uppf, count 7  17  1  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  1  1  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  2  2  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  4  3  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  7  4  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  9  5  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  10  6  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  11  7  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  12  8  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  16  9  
[10-16 20:55:17]AddCatTable, cat, pf, count  1  17  10  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  1  1  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  3  2  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  6  3  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  7  4  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  8  5  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  10  6  
[10-16 20:55:17]AddCatTable, cat, pf, count  2  17  7  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  2  1  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  3  2  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  4  3  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  5  4  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  7  5  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  11  6  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  12  7  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  13  8  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  14  9  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  15  10  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  16  11  
[10-16 20:55:17]AddCatTable, cat, pf, count  3  17  12  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  4  1  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  5  2  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  6  3  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  7  4  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  13  5  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  14  6  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  16  7  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  17  8  
[10-16 20:55:17]AddCatTable, cat, pf, count  4  18  9  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 1  8  1  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 1  9  2  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 1  10  3  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 2  11  1  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 2  12  2  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 3  15  1  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 4  16  1  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 5  13  1  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 5  14  2  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 6  18  1  
[10-17 18:48:51]AddPfTable, curpf, uppf, count 7  17  1  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  1  1  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  2  2  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  4  3  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  7  4  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  9  5  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  10  6  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  11  7  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  12  8  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  16  9  
[10-17 18:48:51]AddCatTable, cat, pf, count  1  17  10  
[10-17 18:48:51]AddCatTable, cat, pf, count  2  1  1  
[10-17 18:48:51]AddCatTable, cat, pf, count  2  3  2  
[10-17 18:48:51]AddCatTable, cat, pf, count  2  6  3  
[10-17 18:48:51]AddCatTable, cat, pf, count  2  7  4  
