//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
37	道具商人·休布李维斯	1	19	13	74100,156300	74100,156300	270	雷霆堡	8	0	r_talk33	0
38	旅馆老板·玛雅婆婆	1	26	0	69761,154269	69761,154269	309	雷霆堡	8	0	r_talk34	0
39	服装店主·迪乐	1	19	2	75450,151200	75450,151200	180	雷霆堡	8	0	r_talk35	0
40	白银城驻雷霆堡大使·伊塔多	1	416	0	74171,155325	74171,155325	270	雷霆堡	8	0	r_talk36	0
41	护卫长·迦略克	1	5	0	70657,146515	70657,146515	85	雷霆堡	8	0	r_talk37	0
42	杂货商人·咕嘟	1	19	12	72500,155100	72500,155100	135	雷霆堡	8	0	r_talk38	0
43	雷霆传送使·沙莉	1	418	7	74364,158606	74364,158606	264	雷霆堡	8	0	GoToWhere	0
44	少女·罗莉	1	413	0	102072,127825	102072,127825	-89	雷霆堡军港	10	0	r_talk39	0
45	海军总部指挥官·基.埃斯西准将	1	417	0	80800,152100	80800,152100	180	雷霆堡	8	0	r_talk40	0
46	海军总部参谋长·玛亚兹少校	1	417	0	65323,150512	65323,150512	174	雷霆堡	8	0	r_talk41	0
47	摩尔克人后裔·菲儿	1	11	0	65146,158595	65146,158595	174	雷霆堡	8	0	r_talk42	0
48	护卫·尼松	1	12	0	71187,141438	71187,141438	189	雷霆堡	8	0	r_talk43	0
49	护卫·松尼	1	12	0	71536,141462	71536,141462	189	雷霆堡	8	0	r_talk44	0
50	路人·丙	1	415	0	66976,155428	66976,155428	159	雷霆堡	8	0	r_talk45	0
51	路人·巴比	1	410	0	99475,123473	99475,123473	144	圣雪山	12	0	r_talk46	0
53	竞技管理员	1	11	8	221082,289340	221082,289340	264	白银城	1	0	r_talk87	0
54	巡逻兵·马尔斯	1	12	0	206504,273272	206504,273272	279	德尔维平原	3	0	r_talk88	0
55	卡尔加德传送使·玛卡珊	1	423	7	62523,210440	62523,210440	84	卡尔加德补给站	54	0	transmittal	0
56	赖安森林传送使·温蒂	1	418	7	101849,297598	101849,297598	264	赖安森林补给站	53	0	transmittal	0
57	旅行医生·瓦罗温妮	1	419	3	63024,209136	63024,209136	179	卡尔加德补给站	54	0	r_talk92	0
58	旅行医生·米奈希尔	1	407	3	100473,297362	100473,297362	-4	赖安森林补给站	53	0	r_talk93	0
59	福克	1	429	0	229090,249599	229090,249599	219	德尔维平原	3	0	r_talk94	0
60	席特	1	10	0	185822,258524	185822,258524	24	德尔维平原	3	0	r_talk96	0
61	严罗塔	1	421	0	189434,279865	189434,279865	84	废矿补给站	55	0	r_talk97	0
62	布布	1	418	0	197396,245713	197396,245713	144	德尔维平原	3	0	r_talk98	0
63	梅尔	1	423	0	196356,249252	196356,249252	144	德尔维平原	3	0	r_talk101	0
64	古博拉	1	408	0	150792,310556	150792,310556	114	古里咯利补给站	58	0	r_talk102	0
65	小库尔森	1	403	0	163571,260785	163571,260785	204	德尔维平原	3	0	r_talk103	0
66	玛姬婶婶	1	13	0	214478,255237	214478,255237	204	德尔维平原	3	0	r_talk104	0
67	瓦萨法尔	1	19	0	113652,277829	113652,277829	129	瓦尔诺补给站	61	0	r_talk105	0
68	阿里克斯	1	404	0	152621,308970	152621,308970	309	古里咯利补给站	58	0	r_talk107	0
69	老库尔森	1	420	0	52923,245873	52923,245873	301	温拿补给站	63	0	r_talk108	0
70	海军列兵3001	1	410	0	228100,283000	228100,283000	264	白银城	1	0	r_talk109	0
71	海军列兵3002	1	410	0	228100,283100	228100,283100	264	白银城	1	0	r_talk109	0
72	海军列兵3003	1	410	0	228100,283200	228100,283200	264	白银城	1	0	r_talk109	0
73	海军列兵3004	1	410	0	228100,283300	228100,283300	264	白银城	1	0	r_talk109	0
74	海军列兵3005	1	410	0	228100,283400	228100,283400	264	白银城	1	0	r_talk109	0
75	海军列兵3006	1	409	0	228200,283000	228200,283000	264	白银城	1	0	r_talk109	0
76	海军列兵3007	1	409	0	228200,283100	228200,283100	264	白银城	1	0	r_talk109	0
77	海军列兵3008	1	409	0	228200,283200	228200,283200	264	白银城	1	0	r_talk109	0
78	海军列兵3009	1	409	0	228200,283300	228200,283300	264	白银城	1	0	r_talk109	0
79	海军列兵3010	1	409	0	228200,283400	228200,283400	264	白银城	1	0	r_talk109	0
80	223小队尖刀一号	1	428	0	226965,282267	226965,282267	88	白银城	1	0	k_talk001	0
81	223小队尖刀二号	1	428	0	226970,283372	226970,283372	88	白银城	1	0	k_talk001	0
82	223小队尖刀三号	1	428	0	220257,282909	220257,282909	0	白银城	1	0	k_talk001	0
83	223小队尖刀四号	1	428	0	219678,282934	219678,282934	0	白银城	1	0	k_talk001	0
84	珊瑚号	1	434	0	224215,283223	224215,283223	-79	白银城	1	0	k_talk001	0
85	巨鲸号	1	434	0	224249,283735	224249,283735	-94	白银城	1	0	k_talk001	0
86	海事所助理·罗拉娜	1	418	9	224774,285824	224774,285824	-45	白银城	1	0	r_talk150	0
87	船工·斯巴克	1	10	5	225538,280188	225538,280188	174	白银城	1	0	r_talk151	0
88	海港指挥·雪莉	1	441	9	224367,282625	224367,282625	267	白银城	1	0	r_talk152	0
89	榴莲	1	30	0	153500,307147	153500,307147	309	古里咯利补给站	58	0	r_talk157	0
90	莲娜姨	1	28	11	151046,308908	151046,308908	144	古里咯利补给站	58	0	r_talk158	0
91	瑞得·皮戈	1	405	0	111335,277922	111335,277922	74	瓦尔诺补给站	61	0	r_talk129	0
92	博尔芬尼	1	15	0	113171,277724	113171,277724	270	瓦尔诺补给站	61	0	r_talk146	0
93	古奈斯	1	17	11	112316,276629	112316,276629	-119	瓦尔诺补给站	61	0	r_talk159	0
94	传送使·腓力莫菲	1	11	7	151923,307654	151923,307654	144	古里咯利补给站	58	0	transmittal	0
95	传送使者·伊沙贝	1	11	7	112139,278183	112139,278183	354	瓦尔诺补给站	61	0	transmittal	0
96	传送使·梅亚	1	11	7	191216,280233	191216,280233	223	废矿补给站	55	0	transmittal	0
97	传送使·海拉	1	11	7	54307,243775	54307,243775	-90	温拿补给站	63	0	transmittal	0
98	治安官里卡尔	1	12	0	190914,282038	190914,282038	249	废矿补给站	55	0	r_talk160	0
99	淘淘	1	414	0	189378,281278	189378,281278	219	废矿补给站	55	0	r_talk147	0
100	克莉莉雅	1	444	0	191452,280657	191452,280657	249	废矿补给站	55	0	r_talk122	0
101	古灵精	1	19	11	188351,280526	188351,280526	174	废矿补给站	55	0	r_talk162	0
102	琳达	1	30	0	51543,243709	51543,243709	279	温拿补给站	63	0	r_talk163	0
103	达达迈亚	1	404	0	58800,238875	58800,238875	189	温拿补给站	63	0	r_talk164	0
104	古力果	1	442	11	52675,243215	52675,243215	54	温拿补给站	63	0	r_talk165	0
105	海港指挥·路凡	1	451	9	325374,330115	325374,330115	219	海风岛	32	0	r_talk178	0
106	海港指挥·诺尔罗德	1	451	9	229932,112280	229932,112280	174	碎冰岛	36	0	r_talk179	0
107	海港指挥·鲁兹鲁伊	1	451	9	362035,74307	362035,74307	204	雪贼岛	35	0	r_talk180	0
108	海港指挥·温亚塔	1	451	9	309785,353060	309785,353060	25	萨拉补给站	71	0	r_talk181	0
109	海港指挥·达耶达	1	451	9	149778,170712	149778,170712	0	阿尔补给站	72	0	r_talk182	0
110	海港指挥·瓦雷米	1	451	9	204187,135503	204187,135503	0	哈尔补给站	73	0	r_talk183	0
111	海港指挥·法第尔	1	451	9	315379,67498	315379,67498	25	弗里敦补给站	74	0	r_talk184	0
112	交易员·布尔兹	1	449	4	325401,327828	325401,327828	160	海风岛	32	0	r_talk185	0
113	交易员·赛瑟尼	1	449	4	227910,111264	227910,111264	144	碎冰岛	36	0	r_talk186	0
114	交易员·肥鲸德拉德	1	449	4	359506,73919	359506,73919	144	雪贼岛	35	0	r_talk187	0
115	海港指挥·查可夫中尉	1	445	9	105677,132418	105663,131195	99	雷霆堡军港	10	0	r_talk207	0
116	船工·阿憨	1	445	5	106236,129149	106236,129149	264	雷霆堡军港	10	0	r_talk210	0
117	海盗情报员·戈瓦撒	1	429	6	222422,288373	222422,288373	290	白银城	1	0	r_talk211	0
118	海军情报员·达隆丹	1	12	6	220133,281810	220133,281810	170	白银城	1	0	r_talk212	0
119	海军募兵小姐·蕾绮尔	1	443	6	219402,277468	219402,277468	159	白银城	1	0	r_talk213	0
120	打包人·乎勒达	1	440	9	190742,279862	190742,279862	219	废矿补给站	55	0	r_talk214	0
121	打包人·费德索拉	1	459	9	103877,128848	103877,128848	294	雷霆堡军港	10	0	r_talk215	0
122	打包人·摩根	1	459	9	152228,309599	152228,309599	294	古里咯利补给站	58	0	r_talk216	0
123	岛屿传送使·斯兰芙	1	11	7	224868,285375	224868,285375	269	白银城	1	0	island	0
124	岛屿传送使·安波莉亚	1	11	7	326626,326695	326626,326695	174	海风岛	32	0	island	0
125	岛屿传送使·阿诗娜	1	11	7	227257,111622	227257,111622	144	碎冰岛	36	0	island	0
126	岛屿传送使·赛雯拉	1	11	7	361161,72801	361161,72801	264	雪贼岛	35	0	island	0
127	贝壳商人·拉姆	1	450	4	206177,254366	206177,254366	211	德尔维平原	3	0	r_talk221	0
128	服装店助理·蓓蓓	1	30	4	226531,270475	226531,270475	180	白银城	1	0	r_talk222	0
129	萨南·格力德	1	19	0	64672,208875	64672,208875	-95	卡尔加德补给站	54	0	r_talk228	0
130	海蓝·微风	1	452	0	62275,210610	62275,210610	0	卡尔加德补给站	54	0	r_talk229	0
131	賽·魔力	1	401	0	62830,209575	62830,209575	94	卡尔加德补给站	54	0	r_talk230	0
132	卡休·碎石	1	440	0	62625,210025	62625,210025	99	卡尔加德补给站	54	0	r_talk231	0
133	潮流发型师·卡特	1	19	13	221525,281325	221525,281325	10	白银城	1	0	r_talk234	0
134	饰品商人·布卡	1	19	13	188975,280475	188975,280475	240	废矿补给站	55	0	r_talk235	0
135	饰品商人·里克	1	19	13	99675,296937	99675,296937	36	赖安森林补给站	53	0	r_talk236	0
136	饰品商人·费拉里	1	19	13	111175,276129	111175,276129	129	瓦尔诺补给站	61	0	r_talk237	0
137	饰品商人·维克多	1	19	13	73108,156758	73108,156758	91	雷霆堡	8	0	r_talk238	0
138	饰品商人·艾尔	1	19	13	63500,209100	63500,209100	180	卡尔加德补给站	54	0	r_talk239	0
139	活动兑奖员·槟果	1	11	0	223145,271519	223145,271519	264	白银城	1	0	r_talk242	0
140	打包人·坎贝尔	1	459	9	91200,200000	91200,200000	250	卡尔加德雪原	7	0	r_talk243	0
141	打包人·索拉斯	1	459	9	187962,296528	187962,296528	205	德尔维平原	3	0	r_talk244	0
142	清洗机	1	724	0	225221,277935	225221,277935	360	白银城	1	0	r_talk252	0
143	活动介绍专员·爬爬	1	260	0	222275,276827	222275,276827	180	白银城	1	0	mmm_talk01	0
144	神秘老婆婆	1	18	0	215800,279200	215800,279200	351	白银城	1	1	el_talk03	1
//145	碰碰乐	1	838	0	72900,154400	72900,154400	135	雷霆堡	8	0	star_talk03	0
146	篝火	1	867	0	206400,273500	206400,273500	135	德尔维平原	3	0	b_talk25	0
147	篝火	1	867	0	76200,151800	76200,151800	135	雷霆堡	8	0	b_talk25	0
148	大熔炉	1	882	0	75900,147400	75900,147400	0	雷霆堡	8	0	b_talk26	0
149	木材加工商	1	459	4	226100,271700	226100,271700	0	白银城	1	0	leo_talkaa	0
150	熔炉技师·梅克	1	10	0	75600,147300	75600,147300	15	雷霆堡	8	0	max_talka3	0
151	篝火婆婆	1	25	0	206400,273700	206400,273700	330	德尔维平原	3	0	max_talka2	0
152	篝火婆婆	1	25	0	76100,151500	76100,151500	150	雷霆堡	8	0	max_talka2	0
153	线上GM	1	430	15	221600,278300	221600,278300	180	白银城	1	0	Leo_talkQ	0
154	怨念草	1	221	0	214138,270471	214138,270471	175	德尔维平原	3	0	ync_talk	0
//155	校长雷诺	1	417	0	223200,278100	222200,277500	180	白银城	1	0	dina_talk01	0
156	魔法师夏天	1	421	0	222900,278200	222900,278200	180	白银城	1	0	el_talk15	0
157	洛克家的守门人	1	735	0	27100,177500	27100,177500	150	圣林	11	0	el_talk16	0
158	神秘帽商	1	449	0	224087,277032	224087,277032	180	白银城	1	0	dina_talk08	0
159	加纳·罗伊	1	449	0	223500,278500	223500,278500	180	白银城	1	0	dean_talk01	0
160	斯通纳	1	19	13	73008,150858	73008,150858	91	雷霆堡	8	0	dean_talk03	0
161	城户纱织	1	880	0	227900,275700	227900,275700	90	白银城	1	0	sds_talk01	0
162	平民星矢	1	868	0	211000,267700	211000,267700	180	白银城野外	3	0	sds_talk02	0
163	艾米娜	1	30	13	74100,150500	74100,150500	-85	雷霆堡	8	0	aimina_talk01	0
164	彩票贩卖员彼德	1	421	0	229388,282488	229388,282488	180	白银城	1	0	peter_talk001	0
165	彩票兑换员帕查理	1	415	0	229688,282488	229688,282488	180	白银城	1	0	peter_talk002	0
166	彩票投注点	1	1075	0	229422,282222	229422,282222	180	白银城	1	0	0	0
167	存钱罐小猪	1	1072	0	229222,282422	229222,282422	180	白银城	1	0	peter_talk003	0
