序号	怪物名称	怪物等级	最终坐标	区域			
190	地精长老	70	1403,3190	魔女之海			
191	地精战士长	70	1381,3134	魔女之海			
192	疯狂的人鱼护卫	71	1065,1308	魔女之海			
193	地精战士队长	72	1381,3134	魔女之海			
194	疯狂的海妖守卫	72	1114,1308	魔女之海			
195	上古加纳海妖	72	3750,1675	魔女之海			
196	上古海妖弓手	73	3122,1298	魔女之海			
197	黑暗人鱼护卫	74	2822,1970	魔女之海			
198	黑暗海妖守卫	74	1990,1366	魔女之海			
199	恐怖的人鱼护卫	75	2822,1970	魔女之海			
200	恐怖的海妖守卫	75	1965,1424	魔女之海			
201	暗影莉娜海妖	76	3122,1298	魔女之海			
202	邪恶的海妖	76	1502,1970	魔女之海			
203	上古魔女海妖	77	961,1817	魔女之海			
204	上古人鱼护卫	79	1014,2182	魔女之海			
205	上古海妖守卫	80	1014,2182	魔女之海			
206	美人鱼女王	100	2822,1970	魔女之海			
207	海妖女王	100	2002,1298	魔女之海			
208	上古恐兽	100	2000,2000	魔女之海			
209	精灵草	1	3373,2494	深蓝群岛			
210	雪地精灵草	1	2267,540	深蓝群岛			
211	紫色精灵草	1	3453,3348	深蓝群岛			
212	橙色精灵草	1	3003,2771	深蓝群岛			
213	雪地精灵草	1	995,372	深蓝群岛			
214	红色精灵草	1	3387,3259	深蓝群岛			
215	黄色精灵草	1	3703,2765	深蓝群岛			
216	睡梦蜗牛	2	3360,2510	深蓝群岛			
217	雪原蔻蔻	2	1466,402	深蓝群岛			
218	雪原帕帕	4	1466,402	深蓝群岛			
219	精灵花	4	3373,2494	深蓝群岛			
220	冰原迷你猪	6	1180,372	深蓝群岛			
221	乖乖鹿	7	1164,305	深蓝群岛			
222	强壮的乖乖鹿	7	1126,313	深蓝群岛			
223	白色乖乖鹿	9	1349,313	深蓝群岛			
224	水兵企鹅	10	1102,642	深蓝群岛			
225	水精灵	11	1079,521	深蓝群岛			
226	珍珠贝	13	945,415	深蓝群岛			
227	利刃翠鸟	13	858,500	深蓝群岛			
228	麋鹿	14	885,333	深蓝群岛			
229	嗜血麋鹿	14	888,323	深蓝群岛			
230	海军蔻蔻	15	756,291	深蓝群岛			
231	海军蔻蔻	15	738,427	深蓝群岛			
232	鹿角企鹅	15	808,303	深蓝群岛			
233	海军帕帕	16	817,292	深蓝群岛			
234	雪蝙蝠	16	743,358	深蓝群岛			
235	雪地菇	17	952,551	深蓝群岛			
236	雪地蜗牛	19	657,332	深蓝群岛			
237	雪地蜗牛王	19	652,315	深蓝群岛			
238	纯情雪娃娃	21	1074,735	深蓝群岛			
239	雪熊宝宝	22	2120,466	深蓝群岛			
240	雪女	23	873,646	深蓝群岛			
241	雪地狼	24	965,775	深蓝群岛			
242	象龟	25	891,750	深蓝群岛			
243	海草	25	2153,3904	深蓝群岛			
244	堕落水精灵	26	891,750	深蓝群岛			
245	硬甲蟹	26	970,846	深蓝群岛			
246	水母	26	2915,1842	深蓝群岛			
247	雾隐鱼	27	435,1016	深蓝群岛			
248	北地海螺	27	802,750	深蓝群岛			
249	小乌贼	28	388,3844	深蓝群岛			
250	雪灵	28	1060,806	深蓝群岛			
251	盾骑士	29	3704,2781	深蓝群岛			
252	纯白水母	29	385,822	深蓝群岛			
253	灵巧雪娃娃	29	907,842	深蓝群岛			
254	食人水母	29	385,1190	深蓝群岛			
255	战斗迷你猪	30	1456,561	深蓝群岛			
256	雪人	31	1496,667	深蓝群岛			
257	深海舞水	33	1495,1000	深蓝群岛			
258	血蝌蚪	34	2141,3788	深蓝群岛			
259	调皮雪娃娃	34	1588,566	深蓝群岛			
260	调皮雪娃娃	34	1746,530	深蓝群岛			
261	变异血蝌蚪	34	3584,3758	深蓝群岛			
262	土象龟	35	2165,462	深蓝群岛			
263	残暴雪人王	35	880,891	深蓝群岛			
264	骷髅弓箭手	36	2267,470	深蓝群岛			
265	彪悍的骷髅弓箭手	36	2213,435	深蓝群岛			
266	宝石海豚	37	1495,1000	深蓝群岛			
267	耐寒龟	37	2165,462	深蓝群岛			
268	疯羊	37	2267,590	深蓝群岛			
269	猛蝎	38	2471,508	深蓝群岛			
270	骨鱼	38	3664,469	深蓝群岛			
271	猛蝎	38	2374,552	深蓝群岛			
272	极地熊	38	1983,530	深蓝群岛			
273	雪剑猪	39	2267,590	深蓝群岛			
274	变异章鱼	39	1495,1000	深蓝群岛			
275	巨蝌蚪	39	823,2089	深蓝群岛			
276	骷髅武士	40	2267,470	深蓝群岛			
277	食腐鱼	40	2092,1298	深蓝群岛			
278	迟钝的雪巨人	41	2471,503	深蓝群岛			
279	敏捷的小乌贼	42	3814,469	深蓝群岛			
280	狼人战士	42	2595,555	深蓝群岛			
281	锯齿鲨鱼	42	3132,1292	深蓝群岛			
282	迅猛小乌贼	43	3132,998	深蓝群岛			
283	雪巨人	43	2595,455	深蓝群岛			
284	水晶海豚	43	3814,469	深蓝群岛			
285	迅猛舞水	44	3211,1732	深蓝群岛			
286	钢铁蜗牛	44	2737,651	深蓝群岛			
287	迟钝的雪魔人	44	2811,566	深蓝群岛			
288	夜行舞水	44	3211,1815	深蓝群岛			
289	凶猛的雾隐鱼	45	3206,1268	深蓝群岛			
290	雪魔人	45	2855,451	深蓝群岛			
291	不灭弓箭手	45	2746,451	深蓝群岛			
292	雷电水母	46	3747,1248	深蓝群岛			
293	邪恶血蝌蚪	47	3746,1292	深蓝群岛			
294	迅捷的闪电水母	47	3746,998	深蓝群岛			
295	精英骷髅弓箭手	47	2714,372	深蓝群岛			
296	冰龙幼崽	47	2852,651	深蓝群岛			
297	水仙子	49	2998,560	深蓝群岛			
298	大型极地熊	49	3101,667	深蓝群岛			
299	堕落的美人鱼	49	3746,998	深蓝群岛			
300	狼人弓箭手	50	2681,795	深蓝群岛			
301	恐怖的雪巨人	50	3126,588	深蓝群岛			
302	游荡的美人鱼	50	1265,3634	深蓝群岛			
303	恐怖的雪魔人	51	2591,795	深蓝群岛			
304	暗影美人鱼	51	2996,2345	深蓝群岛			
305	精英骷髅武士	52	2598,831	深蓝群岛			
306	槌头鲨	53	441,2957	深蓝群岛			
307	黑鳍鲨	53	1265,3634	深蓝群岛			
308	狂暴闪电水母	54	371,1762	深蓝群岛			
309	蜥蜴人	55	2588,900	深蓝群岛			
310	嗜血蝌蚪	55	428,2399	深蓝群岛			
311	狂风水母	56	441,2957	深蓝群岛			
312	飓风水母	57	371,1762	深蓝群岛			
313	黄宝石海豚	57	2631,2048	深蓝群岛			
314	成年宝石海豚	58	429,2957	深蓝群岛			
315	成年宝石海豚	58	3785,1975	深蓝群岛			
316	有刺的骨鱼	59	371,2317	深蓝群岛			
317	饥饿的骨鱼	60	429,2957	深蓝群岛			
318	海盗零零恭	65	2736,3042	深蓝群岛			
319	狐妖	65	3194,2433	深蓝群岛			
320	海盗零零喜	68	2736,3042	深蓝群岛			
321	深蓝海妖	68	1038,2317	深蓝群岛			
322	海妖弓手	69	3634,3808	深蓝群岛			
323	红胡子海盗支援船	69	1038,1762	深蓝群岛			
324	红胡子海盗突击船	70	761,1561	深蓝群岛			
325	凶猛的水晶海豚	70	2141,3788	深蓝群岛			
326	海盗零零财	70	2823,2815	深蓝群岛			
327	精锐蜥蜴战士	71	3650,2967	深蓝群岛			
328	暴怒的海妖	71	3003,3711	深蓝群岛			
329	邪恶的土著战士	72	3528,3469	深蓝群岛			
330	红胡子海盗指挥舰	73	1038,1762	深蓝群岛			
331	邪恶的土著祭师	76	3660,3279	深蓝群岛			
332	疯狂的蜥蜴人	77	3274,3302	深蓝群岛			
333	上古深蓝海妖	78	2082,2348	深蓝群岛			
