//编号	名称	RGB颜色	背景音乐编号	背景颜色RGB值：","号隔开	背景光RGB值：","号隔开	背景光角度："x,y,z"	是否为城市
76	埃弗里补给站	210,198,243	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
77	拉古补给站	180,161,8	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
78	其索单补给站	236,209,143	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
79	穆穆尔补给站	214,127,72	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
80	小肯补给站	162,178,52	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
81	肖沸补给站	173,209,85	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
82	埃皮杜补给站	77,53,71	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
83	萨迪勒补给站	180,193,31	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
84	卡马赛补给站	36,137,84	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
85	思思索补给站	47,165,183	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
86	竞技花园	206,97,41	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
87	阴暗沼泽一层	5,128,34	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
88	废灵之都一层	252,129,141	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
89	阴暗沼泽二层	206,123,122	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
90	阴暗沼泽三层	36,76,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
91	废灵之都二层	242,171,97	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
92	废灵之都三层	164,230,2	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
93	魔方世界一层	50,215,93	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
94	魔方世界二层	94,11,153	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
95	竞技场	141,99,210	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
96	海底隧道	103,157,130	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
97	黑龙巢穴一层	212,85,58	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
98	黑龙巢穴二层	61,57,42	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
99	黑龙巢穴三层	142,77,89	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
100	地下水道	114,221,104	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
101	骷髅岛	86,219,73	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
102	海军基地	132,5,100	3	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
103	藏宝海湾	119,229,46	12	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
104	地下船坞	77,55,210	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
105	水下实验室	43,183,74	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
106	军械库	183,214,241	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
107	地狱一层	112,34,109	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
108	地狱二层	97,231,199	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
109	地狱三层	193,245,237	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
110	地狱四层	16,236,40	9	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
111	天堂	8,217,215	2	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
112	乱斗白银城	234,9,226	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
113	地狱五层	206,16,176	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
114	地狱六层	23,233,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
115	地狱七层	75,163,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
116	地狱八层	98,47,35	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
117	地狱九层	233,216,16	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
118	地狱十层	178,186,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
119	地狱十一层	226,64,246	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
120	地狱十二层	77,244,121	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
121	地狱十三层	180,50,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
122	地狱十四层	11,59,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
123	地狱十五层	27,174,168	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
124	地狱十六层	134,144,185	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
125	地狱十七层	155,249,181	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
126	地狱十八层	153,139,227	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
127	永恒地狱	128,248,172	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
128	地狱补给站	215,108,251	8	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
129	幻影冰狼	2,55,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
130	幻影雷霆	79,134,69	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
131	幻影沙岚	9,119,147	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
132	圣战	14,103,20	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
133	小圣战	92,247,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
134	伊式教堂	17,178,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
135	圣诞村	233,118,107	15	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
136	圣诞竞技场A	215,42,65	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
137	圣诞竞技场B	143,232,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
138	圣诞竞技场C	19,182,75	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
139	圣诞竞技场D	13,139,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
140	圣诞竞技场E	137,56,156	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
141	逆反圣诞村	148,147,165	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
142	监狱岛	53,30,26	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
143	小黑屋	77,142,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
144	无名岛屿93	176,59,250	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
145	无名岛屿94	62,200,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
146	无名岛屿95	119,245,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
147	无名岛屿96	235,233,76	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
148	无名岛屿97	5,26,77	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
149	无名岛屿98	145,55,140	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
150	无名岛屿99	179,145,204	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
151	无名岛屿100	224,85,56	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
152	无名岛屿101	19,218,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
153	无名岛屿102	31,26,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
154	无名岛屿103	153,136,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
155	无名岛屿104	253,159,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
156	无名岛屿105	202,250,237	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
157	无名岛屿106	205,141,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
158	无名岛屿107	167,40,170	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
159	无名岛屿108	141,137,58	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
160	无名岛屿109	63,24,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
161	无名岛屿110	232,1,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
162	无名岛屿111	172,252,194	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
163	无名岛屿112	75,127,19	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
164	无名岛屿113	53,178,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
165	无名岛屿114	17,172,123	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
166	无名岛屿115	116,167,1	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
167	无名岛屿116	250,140,244	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
168	无名岛屿117	100,82,211	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
169	无名岛屿118	185,181,196	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
170	无名岛屿119	171,36,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
171	无名岛屿120	243,100,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
172	无名岛屿121	134,98,88	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
173	无名岛屿122	95,196,47	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
174	无名岛屿123	59,45,118	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
175	无名岛屿124	88,238,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
176	无名岛屿125	2,2,180	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
177	无名岛屿126	48,64,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
178	无名岛屿127	10,232,29	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
179	无名岛屿128	102,8,203	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
180	无名岛屿129	97,166,155	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
181	无名岛屿130	180,243,243	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
182	无名岛屿131	99,25,165	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
183	无名岛屿132	1,144,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
184	无名岛屿133	226,207,25	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
185	无名岛屿134	208,205,156	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
186	无名岛屿135	11,96,177	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
187	无名岛屿136	111,97,12	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
188	无名岛屿137	66,154,36	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
189	无名岛屿138	146,17,37	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
190	无名岛屿139	167,222,81	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
191	无名岛屿140	110,71,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
192	无名岛屿141	159,4,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
193	无名岛屿142	184,7,111	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
194	无名岛屿143	20,68,132	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
195	无名岛屿144	14,154,24	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
196	无名岛屿145	142,37,89	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
197	无名岛屿146	92,158,57	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
198	无名岛屿147	188,146,160	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
199	无名岛屿148	122,153,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
200	无名岛屿149	188,183,212	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
201	无名岛屿150	39,136,46	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
202	无名岛屿151	30,39,230	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
203	无名岛屿152	161,20,96	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
204	无名岛屿153	59,160,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
205	无名岛屿154	135,58,94	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
206	无名岛屿155	6,208,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
207	无名岛屿156	107,14,201	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
208	无名岛屿157	208,231,205	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
209	无名岛屿158	77,93,71	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
210	无名岛屿159	45,133,66	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
211	无名岛屿160	220,120,137	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
212	无名岛屿161	242,71,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
213	无名岛屿162	24,38,222	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
214	无名岛屿163	83,246,178	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
215	无名岛屿164	95,133,110	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
216	无名岛屿165	182,68,100	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
217	无名岛屿166	252,142,62	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
218	无名岛屿167	95,164,116	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
219	无名岛屿168	150,223,125	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
220	无名岛屿169	220,117,39	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
221	无名岛屿170	235,100,228	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
222	无名岛屿171	189,36,220	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
223	无名岛屿172	114,38,80	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
224	无名岛屿173	89,227,210	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
225	无名岛屿174	19,196,198	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
226	无名岛屿175	4,60,208	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
227	无名岛屿176	222,132,209	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
228	无名岛屿177	231,61,7	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
229	无名岛屿178	92,216,119	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
230	无名岛屿179	130,18,104	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
231	无名岛屿180	201,212,70	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
232	无名岛屿181	13,53,22	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
233	无名岛屿182	69,246,187	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
234	无名岛屿183	204,120,163	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
235	无名岛屿184	232,4,130	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
236	无名岛屿185	171,198,235	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
237	无名岛屿186	167,132,219	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
238	无名岛屿187	248,56,223	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
239	无名岛屿188	96,68,85	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
240	无名岛屿189	241,204,135	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
241	无名岛屿190	179,42,224	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
242	无名岛屿191	3,196,74	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
243	无名岛屿192	198,52,240	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
244	无名岛屿193	215,130,9	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
245	无名岛屿194	48,202,188	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
246	无名岛屿195	27,69,133	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
247	无名岛屿196	166,14,218	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
248	无名岛屿197	110,125,152	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
249	无名岛屿198	206,63,239	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
250	无名岛屿199	217,104,215	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
251	无名岛屿200	239,134,60	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
252	无名岛屿201	180,40,8	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
253	无名岛屿202	13,75,166	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
254	无名岛屿203	18,222,247	-1	128,128,128	255,255,255	-1.0,-1.0,-1.0	0
255	登陆界面	122,97,10	-1	114,148,155	255,255,255	-1.0,-1.0,-1.0	0
