//编号	名称	触发间隔	转移持续时间	使用效果脚本	移除效果脚本	替换原则	是否可手动取消	可否移动	可否释放技能	可否普通攻击	可否交易	可否使用物品	是否可被攻击	可否被别人使用物品	可否被别人使用技能	是否被人看见	是否被强制显形	是否可操作背包	是否可与npc对话	解除效果编号	屏幕效果	客户端表现	客户端表现标识	状态地面效果	中心点显示	击晕表现	挂效果方特效表现	dummy1	该状态下受击特效表现	dummy2	ICON	说明	描述	表现形式	备注
12	漩涡	-1	State_Xw_Tran	State_Xw_Add	State_Xw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	0	0	0	0
13	迷雾	-1	State_Mw_Tran	State_Mw_Add	State_Mw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	283	1	0	0	0	0	0	0	0	0	0	0
14	雷幕	2	State_Lm_Tran	State_Lm_Add	State_Lm_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	290	1	0	0	0	0	0	0	0	0	0	0
15	嘲讽	-1	0	State_Chf_Add	State_Chf_Rem	4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
16	水雷自暴	1	0	State_Slzb_Add	State_Slzb_Rem	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	302	-1	0	0	0	0	0	0	0
17	蛮牛药水	-1	0	State_PKMNYS_Add	State_PKMNYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
18	理发	-1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
19	战斗药水	-1	0	State_PKZDYS_Add	State_PKZDYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
20	狂暴药水	-1	0	State_PKKBYS_Add	State_PKKBYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
21	盾牌熟练	-1	0	State_Dpsl_Add	State_Dpsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
22	虎啸	-1	0	State_Hx_Add	State_Hx_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	295	-1	0	0	0	0	0	0	0
23	巨剑熟练	-1	0	State_Jjsl_Add	State_Jjsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
24	狂暴	-1	0	State_Kb_Add	State_Kb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	118	1	0	0	0	0	0	0	0
26	技能禁止	-1	0	0	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	1	0	0	0	0	0	0	0
27	致命一击	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	-1	0	0	0	0	0	0	0
28	丛林行者	-1	0	State_Clxz_Add	State_Clxz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
29	风之领主	-1	0	State_Fzlz_Add	State_Fzlz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	207	1	0	0	0	0	0	0	0
30	弓箭熟练	-1	0	State_Gjsl_Add	State_Gjsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
31	幻影闪	-1	0	State_Hys_Add	State_Hys_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
33	极速风暴	-1	0	State_Jsfb_Add	State_Jsfb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	208	1	0	0	0	0	0	0	0
34	疾风斩	-1	0	State_Jfz_Add	State_Jfz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
35	枪械研究	-1	0	State_Qxyj_Add	State_Qxyj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
36	兽化体质	-1	0	State_Shtz_Add	State_Shtz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
37	天使护盾	-1	0	State_Tshd_Add	State_Tshd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	161	1	0	0	0	0	0	0	0
38	天使祈愿	-1	0	State_Tsqy_Add	State_Tsqy_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	166	-1	0	0	0	0	0	0	0
39	腿狙	-1	0	State_Tj_Add	State_Tj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	143	1	0	0	0	0	0	0	0
40	心灵之火	-1	0	State_Xlzh_Add	State_Xlzh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	206	1	0	0	0	0	0	0	0
41	精神药水	-1	0	State_PKJSYS_Add	State_PKJSYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
42	石肤药水	-1	0	State_PKSFYS_Add	State_PKSFYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
43	隐身	5	0	State_Ys_Add	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
44	精准药水	-1	0	State_PKJZYS_Add	State_PKJZYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
45	眩晕	-1	0	State_Xy_Add	State_Xy_Rem	2	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	-1	0	0	1	253	1	0	0	0	0	0	0	0
46	麻痹	-1	0	State_Mb_Add	State_Mb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	271	2	0	0	0	0	0	0	0
47	无敌药水	-1	0	State_PKWd_Add	State_PKWd_Rem	1	0	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
48	双倍经验	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
49	双倍掉率	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
50	魔力催化	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	343	-1	0	0	0	0	0	0	0
51	冰霜护盾	-1	0	State_Bshd_Add	State_Bshd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	135	-1	0	0	0	0	0	0	0
53	火枪熟练	-1	0	State_Hqsl_Add	State_Hqsl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
54	精炼火药	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
55	弱点攻击	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	1	0	0	0	0	0	0	0
56	神佑	-1	0	State_Sy_Add	State_Sy_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
57	祈愿	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	1	0	0	0	0	0	0	0
58	祝福	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	1	0	0	0	0	0	0	0
59	烈焰之翼	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	152	9	0	0	0	0	0	0	0
60	圣火之光	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	154	-1	0	0	0	0	0	0	0
61	圣职纹章	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	163	-1	0	0	0	0	0	0	0
62	幸运之光	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	169	-1	0	0	0	0	0	0	0
63	弹药库没啦	-1	0	State_PKDYK_Add	State_PKDYK_Rem	3	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
64	粮仓没啦	-1	0	State_PKLC_Add	State_PKLC_Rem	3	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
65	攻击禁止	-1	0	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	180	1	0	0	0	0	0	0	0
66	丛林穿越	-1	0	State_Clcy_Add	State_Clcy_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
67	命中下降	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	178	1	0	0	0	0	0	0	0
68	手狙	-1	0	State_Sj_Add	State_Sj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	259	1	0	0	0	0	0	0	0
69	剑术熟练	-1	0	State_Jssl_Add	State_Jssl_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
70	钢铁意志	-1	0	State_Gtyz_Add	State_Gtyz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	301	1	0	0	0	0	0	0	0
71	强化体质	-1	0	State_Qhtz_Add	State_Qhtz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
72	灵巧回避	-1	0	State_Lqhb_Add	State_Lqhb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
73	剑盾专注	-1	0	State_Jdzz_Add	State_Jdzz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
74	蛮牛热血	-1	0	State_Mnrx_Add	State_Mnrx_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
75	幻影闪	-1	0	State_Hys_Add	State_Hys_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
76	破血狂攻	-1	0	State_Pxkg_Add	State_Pxkg_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
77	体质回复	-1	0	State_Tzhf_Add	State_Tzhf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
78	疾风步	-1	0	State_Jfb_Add	State_Jfb_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
79	鹰眼	-1	0	State_Yy_Add	State_Yy_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	214	-1	0	0	0	0	0	0	0
80	精神加持	-1	0	State_Jsjc_Add	State_Jsjc_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
81	冰冻箭	-1	0	State_Bdj_Add	State_Bdj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	297	-1	0	0	0	0	0	0	0
82	猎人伪装	-1	0	State_Lrwz_Add	State_Lrwz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
83	魔法盾	-1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	211	-1	0	0	0	0	0	0	0
84	双手武器加成	-1	0	State_Fsz_Add	State_Fsz_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
85	交易状态	-1	0	0	0	4	0	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0
86	飓风	-1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	11	-1	0	0	1	274	-1	0	0	0	0	0	0	0
87	海藻缠绕	3	0	State_Hzcr_Add	State_Hzcr_Rem	2	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	277	0	0	0	0	0	0	0	0	0	0	0
88	顺风	-1	0	State_Sf_Add	State_Sf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	287	-1	0	0	0	0	0	0	0
89	破甲	-1	0	State_Pj_Add	State_Pj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	306	1	0	0	0	0	0	0	0
90	奋起	-1	0	State_Fnq_Add	State_Fnq_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	302	-1	0	0	0	0	0	0	0
91	毒箭	2	State_Dj_Tran	State_Dj_Add	State_Dj_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	1	0	0	0	0	0	0	0
92	石化皮肤	-1	0	State_Shpf_Add	State_Shpf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	301	1	0	0	0	0	0	0	0
93	血怒	1	0	State_Xn_Add	State_Xn_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	321	-1	0	0	0	0	0	0	0
94	泥潭	-1	0	State_Nt_Add	State_Nt_Rem	1	0	1	0	0	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	324	-1	0	0	0	0	0	0	0
95	地震	-1	State_DiZ_Tran	State_DiZ_Add	State_DiZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	0	0	0	0
96	冰吻	-1	0	State_Biw_Add	State_Biw_Rem	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	-1	0	0	0	329	2	0	0	0	0	0	0	0
97	木材捆	3	0	State_MCK_Add	State_MCK_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
98	死亡嘲笑	-1	0	State_Swcx_Add	State_Swcx_Rem	2	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	1	319	-1	0	0	0	0	0	0	0
99	摆摊	-1	0	0	0	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
100	修理	-1	0	0	0	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
101	精炼	-1	0	0	0	4	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
102	药水力量强化	-1	0	State_YSLLQH_Add	State_YSLLQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
103	药水敏捷强化	-1	0	State_YSMJQH_Add	State_YSMJQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
104	药水专注强化	-1	0	State_YSLQQH_Add	State_YSLQQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
105	药水体质强化	-1	0	State_YSTZQH_Add	State_YSTZQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
106	药水精神强化	-1	0	State_YSJSQH_Add	State_YSJSQH_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
107	精炼成功率加倍	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
108	合成成功率加倍	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
109	灯笼	-1	0	State_DengLong_Add	State_DengLong_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	360	1	0	0	0	0	0	0	0
110	玫瑰花	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	504	25	0	0	0	0	0	0	0
111	药水回复生命	3	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
112	酒1	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
113	酒2	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
114	僵尸带毒	3	0	State_JSDD_Add	State_JSDD_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	1	0	0	0	0	0	0	0
115	狐妖魔法-魅惑	-1	0	State_HYMH_Add	State_HYMH_Rem	3	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	807	1	0	0	0	0	0	0	0
116	黑龙-恐惧	-1	0	State_HLKJ_Add	State_HLKJ_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	319	-1	0	0	0	0	0	0	0
117	黑龙-龙鸣	-1	0	State_HLLM_Add	State_HLLM_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	158	-1	0	0	0	0	0	0	0
118	长绒蟹-束缚	-1	0	State_CRXSF_Add	State_CRXSF_Rem	3	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	378	-1	0	0	0	0	0	0	0
119	三月精灵	-1	0	State_MarchElf_Add	State_MarchElf_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	505	-1	0	0	0	0	0	0	0
120	药水速度强化	-1	0	State_YSMspd_Add	State_YSMspd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
121	药水船只速度强化	-1	0	State_YSBoatMspd_Add	State_YSBoatMspd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
122	药水船只防御强化	-1	0	State_YSBoatDEF_Add	State_YSBoatDEF_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
123	春风镇状态	-1	0	0	0	4	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
124	艾草	-1	0	State_PKSBYS_Add	State_PKSBYS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
125	黑龙虎啸	-1	0	State_BlackHx_Add	State_BlackHx_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	894	-1	0	0	0	0	0	0	0
126	黑龙雷击	-1	0	State_BlackLj_Add	State_BlackLj_Rem	1	0	0	0	0	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	887	-1	0	0	0	0	0	0	0
127	组队经验	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
128	狂战术	-1	0	State_KUANGZ_Add	State_KUANGZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
129	全身装甲	-1	0	State_QUANS_Add	State_QUANS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
130	轻装药水	-1	0	State_QINGZ_Add	State_QINGZ_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
131	宠物毒噬	1	0	State_JLDS_Add	State_JLDS_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	250	1	0	0	0	0	0	0	0
132	精灵附体A	-1	0	State_JLFT_Add	State_JLFT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	527	-1	0	0	0	0	0	0	0
133	超人棒棒糖	-1	0	State_CJBBT_Add	State_CJBBT_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
134	巨人巧克力	-1	0	State_JRQKL_Add	State_JRQKL_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
135	亡灵燃烧弹	1	0	State_wlrsd_Add	State_wlrsd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
136	亡灵加速	-1	0	State_wljs_Add	State_wljs_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	922	-1	0	0	0	0	0	0	0
137	亡灵漩涡	-1	State_wlxw_Tran	State_wlxw_Add	State_wlxw_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	0	0	0	0
138	骷髅缠身	3	0	State_klcs_Add	State_klcs_Rem	1	0	0	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	921	-1	0	0	0	0	0	0	0
139	骷髅护盾	-1	0	State_klhd_Add	State_klhd_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	912	-1	0	0	0	0	0	0	0
140	亡灵嘲笑	-1	0	State_wlcx_Add	State_wlcx_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	926	-1	0	0	0	0	0	0	0
141	诅咒之血	1	0	State_wlcx_Add	State_wlcx_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	0	0	0	0
142	亡灵毒镖	1	0	State_wldb_Add	State_wldb_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	920	1	0	0	0	0	0	0	0
143	亡灵击晕	-1	0	State_wljy_Add	State_wljy_Rem	1	0	0	0	0	0	0	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	253	1	0	0	0	0	0	0	0
144	漩涡	-1	State_Xw_Tran	State_Xw_Add	State_Xw_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	280	1	0	0	0	0	0	0	0	0	0	0
145	烟雾攻击	1	State_ywgj_Tran	State_ywgj_Add	State_ywgj_Rem	1	0	1	1	1	0	1	1	1	1	1	1	1	1	0	0	0	-1	293	0	0	0	-1	0	0	0	0	0	0	0
146	亡灵怒吼	-1	0	State_wlnh_Add	State_wlnh_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
147	精灵双倍成长	-1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	0	-1	0	0	0	0	0	0	0
148	技·大便	-1	0	State_jltx1_Add	State_jltx1_Rem	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	-1	0	0	0	830	1	0	0	0	0	0	0	0
