//序号	NPC名字	NPC类型	Chr索引ID	小地图显示	坐标起点	坐标终点	NPC面向	区域	区域编号	NPC脚本	消息處理	检测状态
60	海港指挥·奥登	1	453	9	73818,380324	73818,380324	20	卡马赛补给站	84	0	r_talk204	0
61	海港指挥·拉米修	1	453	9	229717,372373	229717,372373	0	思思索补给站	85	0	r_talk205	0
62	交易员·帕德琉斯	1	17	4	161915,197629	161915,197629	54	好运岛	70	0	r_talk206	0
63	交易员·佩鲁诺	1	17	4	126028,57359	126028,57359	155	冰狼堡下城	20	0	r_talk209	0
64	打包人·阿加恩布赖得	1	440	9	105951,67052	105951,67052	189	阿兰比斯补给站	59	0	r_talk220	0
65	岛屿传送使·茉莉	1	11	7	163428,196823	163428,196823	219	好运岛	70	0	island	0
67	岛屿传送使·莱娜	1	11	7	219573,278526	219573,278526	-137	秋之岛	29	0	r_talk223	0
68	鲁格兰	1	454	0	132068,58570	132068,58570	302	冰狼堡下城	20	0	r_talk226	0
69	克拉拉大师	1	401	0	266432,65465	266432,65465	56	冰极补给站	64	0	r_talk227	0
70	塞维·朱尔	1	423	0	267878,63126	267878,63126	169	冰极补给站	64	0	r_talk232	0
71	凯文·狼	1	429	0	268875,62828	268875,62828	179	冰极补给站	64	0	r_talk233	0
72	旅行商人	1	19	17	132674,53171	132674,53171	211	冰狼堡下城	20	0	r_talk234	0
73	饰品商人·瑞恩	1	19	13	267328,65777	267328,65777	3	冰极补给站	64	0	r_talk241	0
74	打包人·阿加西	1	440	9	198124,55024	198124,55024	160	冰极	22	0	r_talk246	0
75	铁匠·武鑫	1	733	1	331665,251639	331665,251639	354	春风镇	24	0	b_talk1	0
76	客栈老板·龙女	1	737	11	330251,250183	330251,250183	174	春风镇	24	0	b_talk2	0
77	杂货商人·鲁娜儿	1	758	12	327981,250143	327981,250143	159	春风镇	24	0	b_talk3	0
78	贸易商人·油李	1	756	4	319561,250611	319561,250611	118	春风镇	24	0	b_talk4	0
79	传送使·春莉	1	732	7	332693,251188	332693,251188	339	春风镇	24	0	b_talk5	0
80	算命先生·算破天	1	759	0	326250,250244	326250,250244	354	春风镇	24	0	b_talk6	0
81	酒店老板·裴蒂	1	738	0	328713,250185	328713,250185	174	春风镇	24	0	b_talk7	0
82	港口指挥·霜奇	1	760	9	340930,256021	340930,256021	189	春风镇	24	0	b_talk8	0
83	银行总管·王墨	1	755	0	329078,251295	329078,251295	354	春风镇	24	0	b_talk9	0
84	卫兵·赵钱孙	1	771	0	330384,253395	330384,253395	9	春风镇	24	0	b_talk10	0
85	卫兵·周吴郑	1	773	0	329820,253400	329820,253400	339	春风镇	24	0	b_talk11	0
86	青年男子·流云	1	772	0	327579,246787	327579,246787	219	春风镇	24	0	b_talk12	0
87	青年女子·水雾	1	774	0	324125,253336	324125,253336	281	春风镇	24	0	b_talk13	0
88	中年男子·比盖	1	779	0	323545,255054	323545,255054	9	春风镇	24	0	b_talk14	0
89	中年女子·王蓉	1	775	0	326505,254765	326505,254765	324	春风镇	24	0	b_talk15	0
90	东方海盗·铃佐田山	1	736	0	221900,328600	221900,328600	9	春风镇	24	0	b_talk16	0
91	潮流理发师	1	735	0	330030,251341	330030,251341	9	春风镇	24	0	b_talk17	0
92	海港指挥·夏青	1	442	9	368558,265209	368558,265209	219	春风镇	24	0	b_talk19	0
93	海港指挥·夏云	1	442	9	333797,352337	333797,352337	118	春风镇	24	0	b_talk20	0
94	黑市商人	1	415	4	137000,58700	137000,58700	90	冰狼堡下城	20	0	leo_talk10	0
95	炼丹炉	1	839	9	325750,250244	325750,250244	354	春风镇	24	0	star_talk02	0
96	篝火	1	867	0	136300,56300	136300,56300	180	冰狼堡下城	20	0	b_talk25	0
97	物质分解仪	1	866	0	134100,56500	130700,50000	45	冰狼堡下城	20	0	b_talk28	0
98	乱斗管理员	1	424	0	137411,52911	137411,52911	210	冰狼堡下城	20	0	kk_talk01	0
//99	碰碰乐	1	838	0	130400,52900	130400,52900	144	冰狼堡下城	20	0	star_talk03	0
100	精灵商人	1	415	4	137000,58900	137000,58900	90	冰狼堡下城	20	0	leo_talkcc	0
101	介绍员-蓝	1	442	0	134000,56100	134000,56100	30	冰狼堡下城	20	0	max_talka1	0
102	篝火婆婆	1	25	0	136400,56100	136400,56100	180	冰狼堡下城	20	0	max_talka2	0
103	圣诞树	1	783	0	122000,55000	122000,55000	354	冰狼堡下城	20	0	el_talk05	0
103	圣战管理员·玛亚	1	424	0	145000,61300	145000,61300	255	冰狼堡下城	20	0	roico_talk	0
//105	月老	1	429	0	322865,250839	322865,250839	354	春风镇	24	0	amon_talk1	0
//106	牛郎	1	772	0	373465,264939	373465,264939	354	夏岛	27	0	amon_talk2	0
//107	库拉托斯	1	425	0	264600,67100	264600,67100	180	冰极补给站	64	0	dina_talk03	0
//108	库拉托斯	1	425	0	271800,58600	271800,58600	180	冰极补给站	64	0	dina_talk04	0
//109	库拉托斯	1	425	0	271400,69900	271400,69900	180	冰极补给站	64	0	dina_talk05	0
//110	库拉托斯	1	425	0	260900,60700	260900,60700	180	冰极补给站	64	0	dina_talk06	0
111	小测验考官	1	16	0	133000,46800	133000,46800	180	冰狼堡下城	20	0	reading_talk01	0
112	升级考考官	1	16	0	132200,46800	132200,46800	180	冰狼堡下城	20	0	reading_talk02	0
113	秋岛导游小姐	1	442	0	242300,318600	242300,318600	150	秋之岛	29	0	el_talk24	0
114	礼品派送专员	1	16	0	130700,50000	130700,50000	-109	冰狼堡下城	20	0	pre_talk	0
//115	西门庆	1	772	0	373400,266100	373400,266100	174	夏岛	27	0	el_talk25	0
//116	夏岛传送使	1	442	0	371465,266439	371465,266439	354	夏岛	27	0	el_talk26	0
//117	麦瑞	1	781	0	121373,55578	121373,55578	219	冰狼堡下城	20	0	el_talk27	0
//118	克瑞斯莫斯	1	781	0	210692,55139	210692,55139	129	骷髅营地补给站	60	0	el_talk28	0
//119	圣诞村传送使	1	1046	0	130900,50700	130900,50701	175	冰狼堡下城	20	0	movexmas_talk	0
